benchmark_instance_id,replicate_id,seed,selected_E1_row_id,item_size,scenario_count,B_ref,B_used,B_over_B_ref,A0_median_runtime_seconds,A1_median_runtime_seconds,speedup_A0_over_A1,A0_iterations,A1_iterations
E5C-R01-I3,E5C-R01,20261101,551,3,100,31969389.64125255,31969389.64125255,1.0,4.258863599970937,3.7259569999878295,1.1430254294359403,2,4
E5C-R01-I6,E5C-R01,20261101,551,6,100,64985948.42561574,64985948.42561574,1.0,6.416385699994862,5.563622099987697,1.153274896224359,2,4
E5C-R01-I9,E5C-R01,20261101,551,9,100,97205490.45371202,97205490.45371202,1.0,8.582247100013774,7.276556500000879,1.1794379800407977,2,4
E5C-R02-I3,E5C-R02,20261102,742,3,100,26427134.77370707,26427134.77370707,1.0,4.3707897999556735,3.657492100028321,1.1950237158193258,2,2
E5C-R02-I6,E5C-R02,20261102,742,6,100,52135414.6764976,52135414.6764976,1.0,6.615481099986937,5.496075599978212,1.2036735993975705,2,2
E5C-R02-I9,E5C-R02,20261102,742,9,100,78874692.59848574,78874692.59848574,1.0,8.661397300020326,7.102540699997917,1.2194787282278954,2,2
E5C-R03-I3,E5C-R03,20261103,191,3,100,12569879.442166034,12569879.442166034,1.0,4.414318899973296,3.7467467000242323,1.178173827428672,2,2
E5C-R03-I6,E5C-R03,20261103,191,6,100,22357390.560802802,22357390.560802802,1.0,6.626751399948262,5.5331450999947265,1.1976464163129532,2,2
E5C-R03-I9,E5C-R03,20261103,191,9,100,35973845.12597471,35973845.12597471,1.0,8.620836399961263,7.093720899953041,1.2152770769453773,2,2
E5C-R04-I3,E5C-R04,20261104,768,3,100,33658590.561297804,33658590.561297804,1.0,4.32713240000885,3.678613999974914,1.1762942238675649,2,2
E5C-R04-I6,E5C-R04,20261104,768,6,100,64665154.17513682,64665154.17513682,1.0,6.576276000007056,5.462628200009931,1.2038666662313025,2,2
E5C-R04-I9,E5C-R04,20261104,768,9,100,93306007.55647738,93306007.55647738,1.0,8.621063500002492,7.1147631000494584,1.2117147653085685,2,2
E5C-R05-I3,E5C-R05,20261105,797,3,100,22530772.686922044,22530772.686922044,1.0,4.324486099998467,3.687527699978091,1.1727331838142288,2,2
E5C-R05-I6,E5C-R05,20261105,797,6,100,45981555.752737574,45981555.752737574,1.0,6.576489900005981,5.469111400016118,1.2024786878516682,2,2
E5C-R05-I9,E5C-R05,20261105,797,9,100,68326241.33223282,68326241.33223282,1.0,8.614312499994412,7.073770200018771,1.2177823503471392,2,2
