benchmark_instance_id,algorithm,repetition,scaled_retry_count,witness_gated_retry_count
E5C-R02-I6,A0,1,3,3
E5C-R02-I6,A1,1,3,3
E5C-R02-I6,A1,2,3,3
E5C-R02-I6,A0,2,3,3
E5C-R02-I6,A0,3,3,3
E5C-R02-I6,A1,3,3,3
E5C-R03-I3,A0,1,12,12
E5C-R03-I3,A1,1,12,12
E5C-R03-I3,A1,2,12,12
E5C-R03-I3,A0,2,12,12
E5C-R03-I3,A0,3,12,12
E5C-R03-I3,A1,3,12,12
E5C-R03-I6,A1,1,2,2
E5C-R03-I6,A0,1,2,2
E5C-R03-I6,A0,2,2,2
E5C-R03-I6,A1,2,2,2
E5C-R03-I6,A1,3,2,2
E5C-R03-I6,A0,3,2,2
E5C-R05-I6,A1,1,1,1
E5C-R05-I6,A0,1,1,1
E5C-R05-I6,A0,2,1,1
E5C-R05-I6,A1,2,1,1
E5C-R05-I6,A1,3,1,1
E5C-R05-I6,A0,3,1,1
E5C-R07-I6,A0,1,6,6
E5C-R07-I6,A0,2,6,6
E5C-R07-I6,A0,3,6,6
E5C-R07-I9,A0,1,6,6
E5C-R07-I9,A0,2,6,6
E5C-R07-I9,A0,3,6,6
E5C-R08-I9,A1,1,1,1
E5C-R08-I9,A0,1,8,8
E5C-R08-I9,A0,2,8,8
E5C-R08-I9,A1,2,1,1
E5C-R08-I9,A1,3,1,1
E5C-R08-I9,A0,3,8,8
E5C-R12-I6,A1,1,5,5
E5C-R12-I6,A1,2,5,5
E5C-R12-I6,A1,3,5,5
E5C-R17-I9,A0,1,1,1
E5C-R17-I9,A1,1,7,7
E5C-R17-I9,A1,2,7,7
E5C-R17-I9,A0,2,1,1
E5C-R17-I9,A0,3,1,1
E5C-R17-I9,A1,3,7,7
E5C-R21-I9,A0,1,6,6
E5C-R21-I9,A1,1,6,6
E5C-R21-I9,A1,2,6,6
E5C-R21-I9,A0,2,6,6
E5C-R21-I9,A0,3,6,6
E5C-R21-I9,A1,3,6,6
E5C-R23-I3,A0,1,5,5
E5C-R23-I3,A1,1,5,5
E5C-R23-I3,A1,2,5,5
E5C-R23-I3,A0,2,5,5
E5C-R23-I3,A0,3,5,5
E5C-R23-I3,A1,3,5,5
E5C-R28-I6,A1,1,5,5
E5C-R28-I6,A1,2,5,5
E5C-R28-I6,A1,3,5,5
E5C-R28-I9,A1,1,5,5
E5C-R28-I9,A1,2,5,5
E5C-R28-I9,A1,3,5,5
E5C-R30-I9,A0,1,8,8
E5C-R30-I9,A0,2,8,8
E5C-R30-I9,A0,3,8,8
