simulation_id,sample_index,input_sha256,instance_position,repetition,algorithm,algorithm_identity,implementation_revision,order_in_pair,wall_clock_seconds,algorithm_runtime_seconds,status,certificate_status,failure_message,result_sha256,iterations,scenario_evaluations,exact_oracle_calls,complete_oracle_calls,candidate_hits,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,objective,worst_loss,worst_scenario,full_exact_certificate,decisions_json,scientific_decision_sha256,row_sha256,replicate_id,seed,item_size,benchmark_instance_id,B_ref,B_used,B_over_B_ref,item_prefix_sha256,scenario_sha256,scaled_retry_count,witness_gated_retry_count,execution_sequence
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,1,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,4.29126880003605,3.6039238999946974,certified,PASS,,9e12dde13d606205af6f88aaa1f055b182c9d12794b472aa80d4351aa99fa96a,2,200,2,2,unavailable,unavailable,unavailable,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,416087c40603d5e324691cb63d668611351c6bcfce91b261f98a3152061bd0e9,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,1
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,1,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,3.747202300000936,3.729956700000912,certified,PASS,,38cfa453f0b5d8c6aa76f0afe7c9a5b503301e23ad029d40e7b5acae973f5db7,4,204,unavailable,unavailable,2,2,2,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,77c7c6bd3c2fd27152ac9dc8a60cb3475083e8aa3d0548171843ff9109bcfed7,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,2
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,2,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,1,3.724001099995803,3.7059581000357866,certified,PASS,,1e879fdfc0428e5c852733c9d9c623d926dd7f3b906daf362d9ddc87492b986e,4,204,unavailable,unavailable,2,2,2,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,606bb056e4f644f6bed6c58778f7f3495e73a6ab7f0066b5139b979f56ee36d2,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,3
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,2,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,2,4.258863599970937,3.5685421000234783,certified,PASS,,36db8dc052c22aea8b064842c9aa096e662d2a30f6420d7a81260065dbbaeefc,2,200,2,2,unavailable,unavailable,unavailable,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,91db207fa6a85d923b1b19ddea4f7937858d94ea4e86cfa5fd06ca29a5939874,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,4
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,3,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,4.238602600002196,3.558324600046035,certified,PASS,,615abf9c76b6156f04c2fb47f4dd6b088d69dfe32229f84959b1f17e7076dd6e,2,200,2,2,unavailable,unavailable,unavailable,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,712ad648e39ab6604d4541a523b2e4959ab4d06ef178e31472816b58313308b9,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,5
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,1,3,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,3.7259569999878295,3.708420399983879,certified,PASS,,2fd45d81da2dcf61c97a946c82d25975bca6a843fc51c9597b06301b728cb218,4,204,unavailable,unavailable,2,2,2,060e18369d21080aa2fcb203c11fa5fe61c8d4535575aacba346502e69701e2b,1315394919.287888,1283425529.6466355,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":1297357.831924689,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",552ee0290c5539b5bb81d819faeb82df44bdd6a522eaf218415353e7e9b49995,a04f3f86a6fff606227d925530c6c04b4486e4b4ed7c393c5fc4997b58730325,E5C-R01,20261101,3,E5C-R01-I3,31969389.64125255,31969389.64125255,1.0,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,6
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,2,1,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,1,5.639984300010838,5.615955599991139,certified,PASS,,4c343cd1cd6cd2e9794c57c8a1c78fc128d9f76ade612d3ee9e1e19095edf910,4,204,unavailable,unavailable,2,2,2,da8bf94864c902f4937c3fae9f73fb338f136fe80284ba0057a1cee473507df8,2760748724.021613,2695762775.5959973,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":2695635.8070901046,""R"":""R0""},""Preservation_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""Standard_2"":{""F"":0.0,""Q"":14940047.209799118,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""StorageLoss_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",d47d55f30af679f309e7660b77a23092300f49b7a239adb0f7e3e90677b4e8d9,b2d9782d9db61cf97bdcb2a2089b79e99f46d694f63b41b7bac79eed9a7923ab,E5C-R01,20261101,6,E5C-R01-I6,64985948.42561574,64985948.42561574,1.0,ee7a15f548668a8047eb0e33b3713782d1485651e68f40df58f0ebfb49d1d1cf,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,7
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,2,1,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,2,6.416385699994862,5.30218599998625,certified,PASS,,36d139c354d56cdb2d1a040bcae8f848ce37fdba3d79313c504a331f6e656bfa,2,200,2,2,unavailable,unavailable,unavailable,da8bf94864c902f4937c3fae9f73fb338f136fe80284ba0057a1cee473507df8,2760748724.021613,2695762775.5959973,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":2695635.8070901046,""R"":""R0""},""Preservation_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""Standard_2"":{""F"":0.0,""Q"":14940047.209799118,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""StorageLoss_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",d47d55f30af679f309e7660b77a23092300f49b7a239adb0f7e3e90677b4e8d9,c9cd1cd2f68b56326a2320b19faa0a3de3c744d62c49e546476cf187146e9c60,E5C-R01,20261101,6,E5C-R01-I6,64985948.42561574,64985948.42561574,1.0,ee7a15f548668a8047eb0e33b3713782d1485651e68f40df58f0ebfb49d1d1cf,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,8
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,2,2,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,6.412102299975231,5.277492099965457,certified,PASS,,3f836747000b5144f3d4ff2c5821833b949013f53e9cd1c9301b772b54177973,2,200,2,2,unavailable,unavailable,unavailable,da8bf94864c902f4937c3fae9f73fb338f136fe80284ba0057a1cee473507df8,2760748724.021613,2695762775.5959973,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":2695635.8070901046,""R"":""R0""},""Preservation_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""Standard_2"":{""F"":0.0,""Q"":14940047.209799118,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""StorageLoss_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",d47d55f30af679f309e7660b77a23092300f49b7a239adb0f7e3e90677b4e8d9,2767532043b6f4e175a3401983b0450de724e58673d9be52516d34a5e091cc25,E5C-R01,20261101,6,E5C-R01-I6,64985948.42561574,64985948.42561574,1.0,ee7a15f548668a8047eb0e33b3713782d1485651e68f40df58f0ebfb49d1d1cf,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,9
LA-0551,551,5ca97503917f9093c7238ab30aee0d41be12643096ecf92a5499c1417a0299ab,2,2,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,5.547283600026276,5.523519299982581,certified,PASS,,bb962b7ee7a08d48635db3ce02b33d7b383d8561c863b6f61029872a15c6c1c1,4,204,unavailable,unavailable,2,2,2,da8bf94864c902f4937c3fae9f73fb338f136fe80284ba0057a1cee473507df8,2760748724.021613,2695762775.5959973,E5C-20261101-016,True,"{""Preservation_1"":{""F"":0.0,""Q"":2695635.8070901046,""R"":""R0""},""Preservation_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""Standard_1"":{""F"":0.0,""Q"":16494178.660027301,""R"":""R0""},""Standard_2"":{""F"":0.0,""Q"":14940047.209799118,""R"":""R0""},""StorageLoss_1"":{""F"":0.0,""Q"":0.0,""R"":""R0""},""StorageLoss_2"":{""F"":0.0,""Q"":0.0,""R"":""R0""}}",d47d55f30af679f309e7660b77a23092300f49b7a239adb0f7e3e90677b4e8d9,c08777a9f5d1a59d033663c9c1ce6cc8bb7d40edd19833cffd9ea2392b853903,E5C-R01,20261101,6,E5C-R01-I6,64985948.42561574,64985948.42561574,1.0,ee7a15f548668a8047eb0e33b3713782d1485651e68f40df58f0ebfb49d1d1cf,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,0,0,10
