replicate_id,seed,selected_E1_row_id,selection_rule
E5C-R01,20261101,551,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R02,20261102,742,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R03,20261103,191,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R04,20261104,768,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R05,20261105,797,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R06,20261106,229,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R07,20261107,165,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R08,20261108,32,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R09,20261109,723,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R10,20261110,772,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R11,20261111,986,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R12,20261112,985,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R13,20261113,934,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R14,20261114,938,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R15,20261115,452,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R16,20261116,313,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R17,20261117,685,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R18,20261118,84,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R19,20261119,235,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R20,20261120,747,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R21,20261121,367,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R22,20261122,214,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R23,20261123,920,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R24,20261124,218,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R25,20261125,427,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R26,20261126,73,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R27,20261127,793,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R28,20261128,28,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R29,20261129,964,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
E5C-R30,20261130,802,FIRST_PCG64_DRAW_UNIFORM_INTEGER_1_1000
