replicate_id,transition,A0_growth,A1_growth,A0_over_A1_growth_ratio
E5C-R01,3_to_6,1.506595726624973,1.493206201790807,1.0089669630477747
E5C-R02,3_to_6,1.5135665183564828,1.5026896708637196,1.007238252650337
E5C-R03,3_to_6,1.5011945330882983,1.4767865412302734,1.016527772414347
E5C-R04,3_to_6,1.5197769312521165,1.4849691215352259,1.0234400899063172
E5C-R05,3_to_6,1.5207563969296405,1.4831377131210735,1.0253642554401798
E5C-R06,3_to_6,1.4970063410617584,1.4787902200251157,1.0123182590674242
E5C-R07,3_to_6,1.5307702187189083,1.5079451092112692,1.0151365652292064
E5C-R08,3_to_6,1.5135320889214654,1.4751025522414014,1.0260521118492207
E5C-R09,3_to_6,1.535395072808591,1.4715817297879596,1.0433637777154425
E5C-R10,3_to_6,1.503459203485065,1.4750134075645476,1.0192851100706164
E5C-R11,3_to_6,1.5123742777045788,1.4890744724058826,1.0156471726098768
E5C-R12,3_to_6,1.5122658245916294,1.4960901670913502,1.0108119536215703
E5C-R13,3_to_6,1.5211751029192524,1.5007856048945063,1.0135858832589077
E5C-R14,3_to_6,1.5368035084331693,1.4773528002620557,1.0402413750869584
E5C-R15,3_to_6,1.5243149748651963,1.4765388857509474,1.032356810630118
E5C-R16,3_to_6,1.5338493283143413,1.4693406313810307,1.0439031600675732
E5C-R17,3_to_6,1.513710872235623,1.485063179196895,1.019290555068654
E5C-R18,3_to_6,1.5162654022747326,1.505161765834075,1.0073770385965821
E5C-R19,3_to_6,1.4899123828833725,1.4719912219085978,1.0121747743519407
E5C-R20,3_to_6,1.5175795501314824,1.474645172807511,1.029115056364529
E5C-R21,3_to_6,1.5102346009519543,1.46622159110966,1.0300179796213371
E5C-R22,3_to_6,1.5100930677260154,1.4839651170154278,1.0176068496563697
E5C-R23,3_to_6,1.514398413155838,1.472949655051489,1.0281399693208795
E5C-R24,3_to_6,1.5171412775480302,1.4964403281570935,1.0138334613157816
E5C-R25,3_to_6,1.524931265437112,1.4914436966444755,1.0224531230162952
E5C-R26,3_to_6,1.5151288432888663,1.4767537389694543,1.025986123012082
E5C-R27,3_to_6,1.5118769149683249,1.5064250765598448,1.0036190571262462
E5C-R28,3_to_6,1.5208722109943325,1.5024029673767376,1.0122931357422988
E5C-R29,3_to_6,1.5161256893265813,1.4917634745880315,1.0163311511198367
E5C-R30,3_to_6,1.505368148963101,1.4805029318339993,1.0167951150885595
E5C-R01,6_to_9,1.3375516219389127,1.307881155338888,1.0226859042038394
