replicate_id,seed,master_100_scenario_sha256,I3_demand_matrix_sha256,I6_demand_matrix_sha256,I9_demand_matrix_sha256,sharing
E5C-R01,20261101,085a7cb0870cc49b7f97ce2c9c1e9b06f242e53473c9b633825e81cf281d6f3f,f3b2542d9eb4e10c0f6fc30b50873e5fdd59051eef90f1b0340ca7affe5d32f4,93ace4a92e4e8b9c2388c6ded2d732a098089a4eb4018333906c64789cc6b12c,1a39461e683e8477b878c89c3e1f5dcb9702c76635b7a446e2bd7036137b0f71,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R02,20261102,b29b1e8e6240e1dfe0154da6595cada028ee03652ae8e3cbe1105d3ab78b0397,00d6388dee96387b4997a65a7b38516af7e81fc8b32cbb6a0136c73ed2346a7a,fb9fcc7f0e0f62179993ad2d74f3a60f24ead5dbccbd4108011fe612c8e656c2,c173b3f9a9384bc7103602dc740c56293ad8dd93aa6a914f3fc638e4a171e3aa,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R03,20261103,1a4721f1c5716bb325519a1709f5dac8d468cde4ba4d69afc02c5115d3205a97,e6b6d6500041b41f4b68c4659ec7bbe1740bf4187a320909a22fc03c52bdc768,07056edad03a5c3a2de0d3faff84ce1b64f67409b34db89d28698bf87313a0c9,b522cfe0050b015af77247b308b163b81ee16269bcb68734aa78b079ecaa0f2a,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R04,20261104,171e71ff3bb07630559d76f5fd2fcc5fe0e2997c10cc41a98e562a88c9f68f20,5b924c397a6e4137515fdcb389185fc1df3fa8dc4ed5bf0747f3395c1af3cd47,4755532172de842b98e652a343061e5c8248262451eeab4f1e5f0dea336c0cc7,19fc7e94914fafb2ea581a689bcafc57324e498199097d1cc60bfa7d7965ec56,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R05,20261105,e5e081ce6b01e888ddf2c6c4bede415e0dbbba712f1d98e27db285fe1af2c012,962bd3c000fec41b68d47a4ca2ca471f3a923fd74e81d5bc538693d04039d03d,df09f3e45cf9b67eac0f1fdbc5cbf7499a568e60730fdbfdbb31fcdbdd2cfe9e,bcb35a9956dde73df64f8dc7c3c6b3ea4163c2abac1f4675a276faef1180d957,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R06,20261106,e4388e0184cca10649122b21aa2357abbaeaa016bddf51a6681c1c615f05f6ce,72f042b8d702b20c8b59aac798950a40f2ad2daf3981693909efbcd752f5c952,ab0dd1429ad47229be51fa9e52c07220485c4518b5331f6082c5a83fd0a5b313,546e13428cc9914c3570fd5bd492170f7b3019d9f058fe401e085075d27f1aab,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R07,20261107,11024eee9140fd984e7b7ed5d5b394c30bc4f1d5c34ed23ec66155ff53c5788c,e9bf709083ec929c0c6e0ad3307b55ffe97eafe2befa56f3f9a46540dec8a666,21c8a59403c99c1dc7926178b225b4b0fee46dd60b9a8c65e876ff2104821d87,ef7c3d12b6589cdd61d9dd201a614051b54f4a681233bd41d048e8d23b0a875a,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R08,20261108,db52957108fb2bea3456163366053d00f2132de108f4e0841e257af76d90db10,ca5d0af3caf0cf0c993626ee5c981f44cfe378fb5203a860b365d4b6d604ee9a,12ff86a21131aff9795b6857c4e9b03e116b2ecd498a293f8b72844e4dacd850,8a8ded9de49248426d157f7fa380c70ec842ebcbde70578d0a1fab78ddd12804,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R09,20261109,1644ff56b0239b10bb9ad572a087a40dace0edf54f0f0af7dab1624ece261184,2f4999861e18395b5b50a5822b387dda69dfe823540f27952e1abe7e9d07cfe0,babc13e86d455fd21ed9850167cd36cdfda92c48621d038e3121048f93af133d,aff300fb07b2d37d102180901fa88179a5bf840fbb6f2f100b070b11d14d2a55,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R10,20261110,9952ce9a284eb2f11817ab90b160f1711408f4c6f5050e9db0b979a58b2267bb,426edfaad25fe3a46b2e2f4369c4b88a8d150c5d22780cbfd245a37321fe6f39,f70750b8ab20888b0d589653710f9d0a0dcd187e6a2651baf34601a7c31d312c,e9bcca6b92e7adbd0e2c52a102ecd6865d2c32d585771489741fa13c9f7a8adb,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R11,20261111,9c6e263ddfb235128211d8b7a2ef25d4e853543b0751589bedea983006ba75d5,8dcaf238a342cfba75d8972d750ab017e7ac90ada0942080f0636f57fafd4d71,69350159972edabdfcf1106732e318c2b343144179c4614b96791ded141ed78c,248d7a66ab1d75dfbcb55b5b514284975b022be4f1f4157386d7df10fdf998f8,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R12,20261112,2ff924a8e772b82a0f3aaecf20965a265d15c674e79ad26c4f80f9c765c8fe82,601c9fa18c320db61a6effd8ebfa73daa27a0c2fff93e281386daa235a7b164e,b16f7ab7a670f123782593cd1a262edb837edd85cc42cc4b76cbaa2b277e141b,2a9531f5a895f8c79bda949f43bb7011c608f82cb86568d2fbbb55f1f9c75763,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R13,20261113,e1e21f64a473a0ce0d4ec85ee5777f03f54320807c7d07515925cabbff5608c3,5a7e8f5fec60631aa482bf771fdfed8593b4e89c8b81a417bcdd0c86460e2873,05a0defda881716eb7c99d280a7173fabdad56a003172e50c80f2e9824c788ed,d726724e92832596fc7c6f72cc10a622d578f4091488341099a9f90ba45ea3f5,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R14,20261114,ecd18748367bfc7b4df59845d66e7d3c4d8b645cbae5db4c2ee3ea0dc47e0912,d424a1e1880b54209b926aa84111cfed1ac8453bdcc5dd4663f3e166a3ab2690,f70997406f6bf408df231c4d930014bf6590150a6b72e9ce6bd2906f765fc950,98e56c684480a34ba0f88897f322fa7c0ed95c7f8005f51f24d4432ba7a960da,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R15,20261115,bcfdd39f46ccec3f90eb477dd3936d82ec40b3eb4da9f3f522156998f4077884,377ed2a1f13c85593dec5cfa3120e3e2de21f254c1cdc74761a845f335172bcb,e2ee3156a64f65b30f8c5a2988553f5e0756d96a8435656564e8b41da8d5fd2a,3339fcd382f754e7a0171052f3b54a4fdbaa20344fc3b1b220b30d0b0fb7c4b5,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R16,20261116,948e2a903560d7ea515243e568b373f779da99a90ad02f26be4366eb6d9e37b4,ade45a1067b05d8f38ea5d094d489de11164889ac0a5e4ac54ed27279e8c3e0d,395d9594a4d3c3e63d5e456ae0b8116b8bb7cf17a6d6b9e2181d4d4167d79828,836ede9e5a8653d7d3381b446c55a067cc57f0df495467b41d3b85bcef84fc26,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R17,20261117,b0546b131be71e79f576ed79c035e7b0279d3d2a471b54577348d7ec215840ee,3b195f6477d3672db1472f569568091353fe151b65314e677cd170181bd59db3,fda8890afc1ad52948de5ebaed368372d98c9f17738662764da7c0dd8589ab15,fc002610106a18f4cd72a1c4f9d7beea75e2c1ba57d1f7c16e506e6a9860f155,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R18,20261118,023ce4a0205de7ef94f853565107bc1d9889eaf769963bbd1cca939f8c066d63,b8c2d53993e71d1043d8564632cc3d72846f7fa01c853fe246882005e0869497,c72a1e832a15525cb9f2c6cce08ee173b58aaa16a661012c3265c82f55f87e36,22f16795a2a1a2d9ad51e6845a7580797034b1da0f399e26e2a699cb54d90de0,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R19,20261119,1f905b5de4225185bd6d264f2e9186015935691d8c29679311758230b1671a87,ae9e619c432f584cd1526629aa3c05eeb6229a3ece84dd0e41318a5bd60ed7f6,317b7012d0fed50e3c2985eef1e8086c1f9f37ce9d3c0301025809056bb68d7d,3759885b7ee1dda1f6780be085e37e24d8a2c76d4f9a3829ec00ba431ec31e20,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R20,20261120,8d96713fa20f49c6bf6b929f777d23d7b3ea16a783ad2711581677f0cbfd694d,d34b2ddb9ab70b9210d88de4c6d492c28d4def7b3caae7cc2991744e5744a394,214da85d4329f433de680681a0ac46ecb42d6218a292299acda92134575e4868,0dc2ccd9f91ea3e0766dc03caf54ee295792dd85543e15f4a36eb678eba4801d,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R21,20261121,8ab27c3dba6d6ed02c19af4baf26a24ccef72ea1add5be6899df069fd62e6c88,d85ebb2723bf0eadcc7b610fa2a6ce3b8cb7ae55c6a0a64f33777863c7c3b8ba,058acd768cf4243f10879df74f4171e00c70c93519c556fe54f011c6f30110fc,b3d3d2a030f231d9102889f4d417cc7d80391510b00ea271f6b539e80ee071d9,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R22,20261122,edc393adff87b422886300e1e2245c3a3b9167b2b2e4995c4e50648872ae88e7,7bb6b88251a24eaf396b9ac536c70f1426422a64a4c6d96b3e5918870c257c10,59b3014af31dc76844197dee0491fccc9410476ff1d203c6a019e87442290468,b1c91e4b6db315c503003970af8d6d60e6db54595fc77018af1592508c1b69e6,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R23,20261123,0ab8ba9a56edca90d254eeca8a01414d979c39c4eeea5ec1ff7243ce17b00514,ab1f9afc956c57d04faae88e13b99aec227174a9b97601572ec4cea62a56da40,b84da7d08619e17eb97d9a10a0ea9060c548b07fe80952db3f7623f851560075,a7693f84fe213694f65610c17e988397a671f4d3bf2c16c730d0ba9f9dd23b35,SAME_MASTER_100_ACROSS_I3_I6_I9
E5C-R24,20261124,9687727c219bbfd5752286f7852ad1652a1b8aa5d8f023af875ce134f89e2c9b,eac0d08e1600bac8b50b770a6c430a3d7f7a7f0c5616a3ae50cfa0767b000fda,e79028263a692a0b5991db8eff39bf997ab706224fde0a6cda8aadaa05720463,b245b74965191656a63d48c8fffd4f49e2c175c17629d5587fd35effed030dab,SAME_MASTER_100_ACROSS_I3_I6_I9
