item_size,algorithm,metric,min,Q25,median,mean,Q75,P90,P95,max,comparison_scope
3,A0,iterations,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A0,scenario_evaluations,100.0,200.0,200.0,196.66666666666666,200.0,200.0,200.0,200.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A0,exact_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A0,complete_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A1,iterations,1.0,2.0,3.0,2.966666666666667,4.0,4.0,5.0,5.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A1,scenario_evaluations,101.0,202.0,203.0,199.63333333333333,204.0,204.0,205.0,205.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A1,candidate_hits,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A1,full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
3,A1,complete_full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A0,iterations,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A0,scenario_evaluations,100.0,200.0,200.0,196.66666666666666,200.0,200.0,200.0,200.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A0,exact_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A0,complete_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A1,iterations,1.0,2.0,3.0,2.966666666666667,4.0,4.0,5.0,5.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A1,scenario_evaluations,101.0,202.0,203.0,199.63333333333333,204.0,204.0,205.0,205.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A1,candidate_hits,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A1,full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
6,A1,complete_full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A0,iterations,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A0,scenario_evaluations,100.0,200.0,200.0,196.66666666666666,200.0,200.0,200.0,200.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A0,exact_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A0,complete_oracle_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A1,iterations,1.0,2.0,3.0,2.966666666666667,4.0,4.0,5.0,5.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A1,scenario_evaluations,101.0,202.0,203.0,199.63333333333333,204.0,204.0,205.0,205.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A1,candidate_hits,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A1,full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
9,A1,complete_full_exact_certification_calls,1.0,2.0,2.0,1.9666666666666666,2.0,2.0,2.0,2.0,ALGORITHM_SPECIFIC_DIAGNOSTIC_ONLY
