case_id,a_C,m_F,phi,psi,commodity,N,Q_activation_count,Q_activation_rate,F_activation_count,F_activation_rate,Q_mean,Q_median,Q_conditional_mean,F_mean,F_median,F_conditional_mean
CQF_A100_MF080,1.0,0.8,0.16,0.68,Water,200,0,0.0,80,40.0,0.0,0.0,,6493691.815158021,0.0,16234229.53789505
CQF_A100_MF080,1.0,0.8,0.16,0.68,Vaccine,200,0,0.0,52,26.0,0.0,0.0,,512461.96979280777,0.0,1971007.5761261838
CQF_A100_MF080,1.0,0.8,0.16,0.68,Crackers,200,0,0.0,148,74.0,0.0,0.0,,252469063.99685276,263890351.3647348,341174410.8065578
CQF_A100_MF100,1.0,1.0,0.2,0.85,Water,200,3,1.5,86,43.0,218987.86900015757,0.0,14599191.266677171,7346723.391368318,0.0,17085403.235740278
CQF_A100_MF100,1.0,1.0,0.2,0.85,Vaccine,200,0,0.0,43,21.5,0.0,0.0,,331251.9574023264,0.0,1540706.7786154717
CQF_A100_MF100,1.0,1.0,0.2,0.85,Crackers,200,5,2.5,152,76.0,3591647.499301749,0.0,143665899.97206995,176458618.88564128,176610228.5324076,232182393.27058065
CQF_A100_MF120,1.0,1.2,0.24,1.02,Water,200,27,13.5,66,33.0,2009805.974194596,0.0,14887451.660700712,5301166.0861043325,0.0,16064139.654861612
CQF_A100_MF120,1.0,1.2,0.24,1.02,Vaccine,200,0,0.0,52,26.0,0.0,0.0,,319587.0775124024,0.0,1229181.067355394
CQF_A100_MF120,1.0,1.2,0.24,1.02,Crackers,200,32,16.0,116,58.0,18782688.939226598,0.0,117391805.87016623,105206366.58956799,107579317.85203712,181390287.22339308
CQF_A090_MF080,0.9,0.8,0.16,0.68,Water,200,0,0.0,88,44.0,0.0,0.0,,7508230.828443145,0.0,17064160.973734424
CQF_A090_MF080,0.9,0.8,0.16,0.68,Vaccine,200,0,0.0,54,27.0,0.0,0.0,,540011.2763419733,0.0,2000041.7642295312
CQF_A090_MF080,0.9,0.8,0.16,0.68,Crackers,200,0,0.0,146,73.0,0.0,0.0,,241366918.57599315,266763020.62692195,330639614.48766184
CQF_A090_MF100,0.9,1.0,0.2,0.85,Water,200,5,2.5,97,48.5,361843.81980445934,0.0,14473752.792178374,8578750.461940221,0.0,17688145.28235097
CQF_A090_MF100,0.9,1.0,0.2,0.85,Vaccine,200,2,1.0,44,22.0,6916.817806939888,0.0,691681.7806939888,348278.3128836016,0.0,1583083.240380007
CQF_A090_MF100,0.9,1.0,0.2,0.85,Crackers,200,0,0.0,154,77.0,0.0,0.0,,168619288.70611432,177167101.25319582,218986089.2287199
CQF_A090_MF120,0.9,1.2,0.24,1.02,Water,200,32,16.0,70,35.0,2391190.828638196,0.0,14944942.678988725,5692278.31550642,0.0,16263652.330018343
CQF_A090_MF120,0.9,1.2,0.24,1.02,Vaccine,200,24,12.0,55,27.5,78966.49635356483,0.0,658054.136279707,317853.65932565095,0.0,1155831.4884569126
CQF_A090_MF120,0.9,1.2,0.24,1.02,Crackers,200,0,0.0,121,60.5,0.0,0.0,,107682473.48244566,110143642.47015041,177987559.4751168
CQF_A080_MF080,0.8,0.8,0.16,0.68,Water,200,0,0.0,82,41.0,0.0,0.0,,7249297.372034929,0.0,17681213.102524217
CQF_A080_MF080,0.8,0.8,0.16,0.68,Vaccine,200,0,0.0,52,26.0,0.0,0.0,,515144.3802773619,0.0,1981324.539528315
CQF_A080_MF080,0.8,0.8,0.16,0.68,Crackers,200,0,0.0,148,74.0,0.0,0.0,,246848767.9715409,272357729.3404618,333579416.177758
CQF_A080_MF100,0.8,1.0,0.2,0.85,Water,200,5,2.5,99,49.5,361843.81980445934,0.0,14473752.792178374,8582863.934158923,0.0,17339119.058906917
CQF_A080_MF100,0.8,1.0,0.2,0.85,Vaccine,200,2,1.0,45,22.5,6916.817806939888,0.0,691681.7806939888,359789.0159444617,0.0,1599062.2930864964
CQF_A080_MF100,0.8,1.0,0.2,0.85,Crackers,200,0,0.0,153,76.5,0.0,0.0,,166881695.45226258,176610228.5324076,218146007.12714064
CQF_A080_MF120,0.8,1.2,0.24,1.02,Water,200,32,16.0,73,36.5,2391190.828638196,0.0,14944942.678988725,5636000.177527049,0.0,15441096.376786435
CQF_A080_MF120,0.8,1.2,0.24,1.02,Vaccine,200,24,12.0,57,28.5,78966.49635356483,0.0,658054.136279707,337244.9105863547,0.0,1183315.4757415953
CQF_A080_MF120,0.8,1.2,0.24,1.02,Crackers,200,0,0.0,121,60.5,0.0,0.0,,105192105.33717558,109596085.75346613,173871248.4911993
