simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0001,1,SUCCESS,,,1.3831341000040993,0.5410875000525266,4,1,0,2,4,4,2,2,108,94815061.55806322,94815061.55806322,0.0,certified,PASS,omega_21,PASS,unavailable,d72bd073803ae15fff449c917350be45fd5b4c73bb84302c4a8462f5d622d7b6,658758a0559ed41f6b4af1e43614d49ce233b9ba53d16a6c2f82bae86c3e7b02,True
LA-0002,2,SUCCESS,,,1.3406557999551296,0.49058159976266325,4,1,0,2,4,4,2,2,108,131572369.94318976,131572369.94318976,0.0,certified,PASS,omega_21,PASS,unavailable,a416db96b9d7fde7375415690b60eed1259d589dbdec1da46564a4179fc7c03c,5cbc081905f29e6bc5bd93f8998dc642e4ae9f808f25728894dd9541f6321517,True
LA-0003,3,SUCCESS,,,1.3807973000220954,0.5076391004840843,4,1,0,2,4,4,2,2,108,132284755.16471775,132284755.16471775,0.0,certified,PASS,omega_21,PASS,unavailable,4ef98887cef6313f367b43ac80c5a8cfe25cc8aaff4b02c9ceada4401d333f71,c65ca89fe439d15fa0410de0c3d435728cdc2401e4c885784b6458d58eaef5b4,True
LA-0004,4,SUCCESS,,,1.3937741999980062,0.526575299911201,4,1,0,2,4,4,2,2,108,132335664.9601897,132335664.9601897,0.0,certified,PASS,omega_21,PASS,unavailable,c7c392cff4da69c668a5bfcddd9768e84f4f8103671cc16eb24e37ce50164963,b857d562c14b6262d54c4b082ffbe102662d396fb3fceff263a41a8de1305039,True
LA-0005,5,SUCCESS,,,1.3801629000226967,0.5234401000780053,4,1,0,2,4,4,2,2,108,137096126.41109973,137096126.41109973,0.0,certified,PASS,omega_21,PASS,unavailable,1fa5bd04ea4ccf62a67ae08cfd5d97363263f19d926ab36723f3ccd63b25360a,62bd7e86928293b5ec4ef851ac4874a1cf84e854ac542cec1aa0655c8df5e101,True
LA-0006,6,SUCCESS,,,1.3403154999832623,0.5065285002347082,3,1,0,1,3,3,2,2,107,135862748.58271828,135862748.58271825,0.0,certified,PASS,omega_21,PASS,unavailable,3c14146c011a07240879ea3a469ffa78eb81924913120f6a49e0ef2e6379583a,c30831ecc1cab0d270de4523baaff9341ba15983777663459ca761406cb55792,True
LA-0007,7,SUCCESS,,,1.4153704000054859,0.549164799915161,4,1,0,2,4,4,2,2,108,134233755.69367176,134233755.69367176,0.0,certified,PASS,omega_21,PASS,unavailable,6acbfd654c81e42341dd9a7c89de5dcbbfb333ace7778b93b2d59c835ab82403,acc434b6588e0a5f8f17236023b514a9361b208afd586b7efc727f2d54fdeddf,True
LA-0008,8,SUCCESS,,,1.335930900007952,0.5021419000113383,3,1,0,1,3,3,2,2,107,138238355.71185791,138238355.7118579,0.0,certified,PASS,omega_21,PASS,unavailable,03bc98a3c631d029531c286c5b8569049eead79340a80e5e8819407fb60c8f7b,6a9e6b8e115d526f4a749eaf89f604f9ed187e0a6b71e12e72a1db7c300e31a4,True
LA-0009,9,SUCCESS,,,1.392323900014162,0.5163450996624306,4,1,0,2,4,4,2,2,108,137210457.38693088,137210457.38693085,0.0,certified,PASS,omega_21,PASS,unavailable,150043ffa7726838e2feda539e3540d8b2a0a3d553373d6f17ee472eb53ab9b1,801d09b127968c3882cd55c69a10f34b7a25a7db6ac0fc3808f14914628792cf,True
LA-0010,10,SUCCESS,,,1.354158800037112,0.500928700028453,4,1,0,2,4,4,2,2,108,131205175.80910812,131205175.80910811,0.0,certified,PASS,omega_21,PASS,unavailable,c95f47a663e34b4608f9c93a4672b4b1cd53a35347e96764a7d34f27c66cb8bc,6fecdfef8e95a52e5b43d88b5102acd969c464342a94269f099801c2c0b3080e,True
LA-0011,11,SUCCESS,,,1.403319199976977,0.5248902001767419,4,1,0,2,4,4,2,2,108,132053359.04669306,132053359.04669306,0.0,certified,PASS,omega_21,PASS,unavailable,d8ea6034e438221ac868f6c273a54fc83400981819dead4c21bc956de5f85ccb,7da672cf842a98b0758b65b4edcb2936e5501d330b68768182a0d7d2f9889eb8,True
LA-0012,12,SUCCESS,,,1.4040644000051543,0.5217586997314356,4,1,0,2,4,4,2,2,108,107813124.80755678,107813124.80755676,0.0,certified,PASS,omega_21,PASS,unavailable,fe009c1959729ad98cc4045a8f9d2de50e017d846d02c2107e41559054eb6c28,d4a8011e84380ad6acb646aa6139036ec416f9ed4c9c155b1ede6454898ab0b3,True
