model_kind,algorithm_kind,budget,shortage_beta,demand_scale_gamma_D,demand_scale,h,a,simulation_config_sha256,sample_table_sha256,execution_git_commit,execution_git_tree,simulation_id,sample_index,simulation_seed,input_sha256,rho_Q1,rho_Q2,rho_Q3,rho_Q4,rho_Q5,rho_F1,rho_F2,rho_F3,rho_F4,rho_F5,eta_1,eta_2,phi,psi,c_R1_ratio,c_R2_ratio,status,failure_type,failure_message,data_sha256,scenario_sha256,objective_T_COST,policy_label,Q_Water,Q_Seasonal Influenza Vaccine,Q_Crackers,F_Water,F_Seasonal Influenza Vaccine,F_Crackers,R_Water,R_Seasonal Influenza Vaccine,R_Crackers,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,worst_exercise_Water,worst_exercise_Seasonal Influenza Vaccine,worst_exercise_Crackers,worst_shortage_Water,worst_shortage_Seasonal Influenza Vaccine,worst_shortage_Crackers,convergence_status,certificate_status,a1_result_sha256,first_stage_sha256,oracle_sha256
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0001,1,20260903,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,0.922521227429794,0.7452023812062128,0.7418704554268403,0.7219298543549457,0.7047806081548735,0.8760720882194385,0.8611413946407805,0.8026564335238286,0.8006439855649403,0.7698499621134767,0.38351093915006096,0.4951211148465382,0.002071930421536967,0.5194839916445723,0.15581621844524082,0.38551636721752913,SUCCESS,,,85d1ca28c10e25e26a766aae51a2a90a27e93040003457fafe5b89881af57c18,f77a3d39501a312cb9e519c0dc2945090e69dcea3c08f031c20d87562c0d3f89,94815061.55806322,P4,0.0,0.0,0.0,0.0,1144366.1971831,41757455.29829745,NONE,R0,R0,0.0,41104.00971532803,0.0,41104.00971532803,omega_21,5,7933910.265186872,86840047.28316101,173356400.54428825,33027965.652894843,1.0,0.0,880990.273545353,32146975.37934949,3290000.0,263375.92363774707,169803024.6206505,certified,PASS,77d3a051a17534f58a04f4236e5f811a852dc929d006d7edfdde4dc4af6e0c4f,d72bd073803ae15fff449c917350be45fd5b4c73bb84302c4a8462f5d622d7b6,658758a0559ed41f6b4af1e43614d49ce233b9ba53d16a6c2f82bae86c3e7b02
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0002,2,20260903,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,0.9341181087069085,0.8953404556082157,0.8497989175397563,0.7564349138952171,0.7270750636927024,0.7603083924372587,0.7501372180537771,0.6821940630391552,0.6123965277608744,0.5621865826622061,0.3082333336370004,0.7189467751517306,0.38832017244636113,0.6202262325217449,0.221749594383684,0.5886617297328387,SUCCESS,,,e91e05bca0f9b77f00bc5d7baa24eeca3f3e7d60735ee040f288f99d0e876c3c,9fae6bffbcaa21a97cf46a111a576f309c99fd2b0b879105f92bd2bb65b1dd54,131572369.94318976,P4,0.0,0.0,0.0,0.0,777584.8144464531,0.0,NONE,R0,NONE,0.0,4201962.212309306,0.0,4201962.212309306,omega_21,5,3773052.062592894,123597355.66828756,205947218.4476194,437147.7495636771,0.9999999999999999,0.0,437147.7495636771,0.0,3290000.0,707218.4476194229,201950000.0,certified,PASS,3decd38447f2db53804982d45eb9588ad92287bcf5518502af0a69e392765b8f,a416db96b9d7fde7375415690b60eed1259d589dbdec1da46564a4179fc7c03c,5cbc081905f29e6bc5bd93f8998dc642e4ae9f808f25728894dd9541f6321517
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0003,3,20260903,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,0.8070071265150788,0.7743118395359756,0.7653055361477155,0.7467729448876879,0.7404691169181075,0.7049939316796755,0.650793227523168,0.6359465649326758,0.42818809136278885,0.32343126087269347,0.20231421566201296,0.5631132543292243,0.33565698051100795,1.0595438692484767,0.09400434498139602,0.22539981000768083,SUCCESS,,,359f210997c9d03137926259f1926e1bb6cd08e9da6141b5e317b81ab6bb4480,2473861fd24bc88863e75bfd7bb65ded66912e2e87086176c9bd947b89b60d2a,132284755.16471775,P1,0.0,573082.3710047571,0.0,0.0,0.0,0.0,NONE,NONE,NONE,7975014.2749022,0.0,0.0,7975014.2749022,omega_21,5,0.0,124309740.88981555,205960016.40000388,0.0,1.0,0.0,0.0,0.0,3290000.0,720016.4000038723,201950000.0,certified,PASS,720b15056209e64b491e65bba9cbb81ba1126fbdc091e22be3a169310de5a994,4ef98887cef6313f367b43ac80c5a8cfe25cc8aaff4b02c9ceada4401d333f71,c65ca89fe439d15fa0410de0c3d435728cdc2401e4c885784b6458d58eaef5b4
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0004,4,20260903,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,0.8221395220428599,0.741196974705498,0.7327059146026832,0.72761989667496,0.6155313669357059,0.8929695323254209,0.8071585192510689,0.6848359897984746,0.47837390074635283,0.4523760255702268,0.32867265098503873,0.5300461697194285,0.07944032169653636,1.1778053590043958,0.243997007582195,0.36643315455048153,SUCCESS,,,1c26b1f046d008d04dc736f621fb45516aa33ca251dc728ed328c438d14bb7cc,54fc0433d225788de113a7181ca6083edb71f6124dcaec758396d44db6482a73,132335664.9601897,P4,0.0,0.0,0.0,7272710.784911524,597527.1041032821,0.0,R0,R0,NONE,0.0,1034767.5425213049,0.0,1034767.5425213049,omega_21,5,6940246.732380895,124360650.6852875,202824059.26065838,3560306.93652473,1.0,3290000.0,270306.93652472994,0.0,0.0,874059.2606583701,201950000.0,certified,PASS,7a2e7796c2c83a6aab147deff8ab70a15960e76c227b423e14f4cda5134f2265,c7c392cff4da69c668a5bfcddd9768e84f4f8103671cc16eb24e37ce50164963,b857d562c14b6262d54c4b082ffbe102662d396fb3fceff263a41a8de1305039
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0005,5,20260903,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,0.9693823848132163,0.8778036260238016,0.8670121839170131,0.697425014434226,0.5896427020512514,0.7086404186405618,0.6560528226474139,0.5534219471773951,0.5474990805111646,0.5323392820396154,0.14984413737456603,0.7922432540765625,0.44017313801230057,1.1428479479630251,0.0570769506862477,0.18299684330340973,SUCCESS,,,de4d526a463f879015b40e71799a3574a6705d429c12cc1b257c8ebe1d0a5731,eb5e729a4f4ac9706bdef9599c8ca88320e1153515f18d8e106227635f9cb7ab,137096126.41109973,P1,0.0,333658.78202514525,35550775.33333631,0.0,0.0,0.0,NONE,NONE,NONE,7975014.2749022,0.0,0.0,7975014.2749022,omega_21,5,0.0,129121112.13619754,185225371.50382125,0.0,1.0,0.0,0.0,0.0,3290000.0,947626.7313866639,180987744.7724346,certified,PASS,e81c7055737396dad7e13a6aa1b2f5b4a322a0292a6e7114e1eaa38f4c2bd5d5,1fa5bd04ea4ccf62a67ae08cfd5d97363263f19d926ab36723f3ccd63b25360a,62bd7e86928293b5ec4ef851ac4874a1cf84e854ac542cec1aa0655c8df5e101
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0006,6,20260903,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,0.8160641414602561,0.7917365247037459,0.6565169186322943,0.5351640775642301,0.4189678247501644,0.8599189710742645,0.8513839076953441,0.7888434892440566,0.7637745037339543,0.5954776084694967,0.14659492939636729,0.8262602402911685,0.4011770765818714,0.9604058962344366,0.07340987471879275,0.18563696459542925,SUCCESS,,,10675313c8d66bb8d92afb8809d36db5af7cb6d00e32adc5edbab1b6b8630b9b,d644bb10de474708b55bf72c94f8cf474a570e1ad86256d7bf96dca749beef51,135862748.58271825,P4,0.0,0.0,0.0,3538706.0014611855,222586.88505683237,0.0,R2,R2,NONE,0.0,2162159.487947112,1000497.6548848182,3162657.14283193,omega_21,5,4812357.132070271,127887734.30781606,202887423.07968915,3496943.1174939643,1.0000000000000002,3290000.0,206943.11749396424,0.0,0.0,937423.0796891358,201950000.0,certified,PASS,0f4c5fda465e09af7be7e8871118fbae3dbded1f527e9e0ba2a3ba69bacddfb4,3c14146c011a07240879ea3a469ffa78eb81924913120f6a49e0ef2e6379583a,c30831ecc1cab0d270de4523baaff9341ba15983777663459ca761406cb55792
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0007,7,20260903,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,0.9050547676637114,0.8455286986146096,0.7027936121718653,0.6971074063313801,0.6336789960387299,0.8986023763330586,0.7224664113375998,0.7183419074792169,0.6242899298066482,0.469463585287724,0.20725263438310682,0.7366776951050362,0.05552381086764615,1.3536768038735594,0.12971378592248706,0.20810758090970125,SUCCESS,,,d050b3daf09ae476d90fd04ab5d2932320e8b94a8c7cbc35733924467bbae696,646f107e3e9a080042c49d92a96fd4087f9c6270ddbbfec9c678daedc9f37d3b,134233755.69367176,P4,0.0,0.0,0.0,0.0,829321.2647991121,0.0,NONE,R0,NONE,0.0,640791.1243004831,0.0,640791.1243004831,omega_21,5,7334223.150601717,126258741.41876957,205995030.06285515,389336.1343279411,1.0,0.0,389336.1343279411,0.0,3290000.0,755030.0628551589,201950000.0,certified,PASS,8f280cb5e131c935d9857fdbfa84686a88af23e079828eae89e7735760ba8eac,6acbfd654c81e42341dd9a7c89de5dcbbfb333ace7778b93b2d59c835ab82403,acc434b6588e0a5f8f17236023b514a9361b208afd586b7efc727f2d54fdeddf
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0008,8,20260903,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,0.9792444797653141,0.9013583879762508,0.6243386122593421,0.5546427952902904,0.5538362049910261,0.773236113732509,0.7348353177144263,0.6028065045312001,0.5842626135047929,0.481608396818914,0.40155053831225107,0.8760158066854603,0.25037527191324255,1.4839278185106197,0.05018832949515882,0.17601281812712813,SUCCESS,,,08e876e002197fad8f41e87d703cbe851f7123ad48fbc5802343f910b0304a34,a917befa2cac756e0be863e699d11e06de201ce22f7e6bb5ac981d6d305f6897,138238355.7118579,P1,0.0,0.0,85094049.02797909,0.0,0.0,0.0,NONE,NONE,NONE,7975014.2749022,0.0,0.0,7975014.2749022,omega_21,5,0.0,130263341.43695569,159256201.01620683,0.0,1.0,0.0,0.0,0.0,3290000.0,1144366.1971831,154821834.81902373,certified,PASS,6e490ff691ba2197a3e72d070afa31adfa581ad8478328e42f5cf11c170ea82e,03bc98a3c631d029531c286c5b8569049eead79340a80e5e8819407fb60c8f7b,6a9e6b8e115d526f4a749eaf89f604f9ed187e0a6b71e12e72a1db7c300e31a4
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0009,9,20260903,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,0.9438978837759708,0.9324302440318135,0.8379799389456358,0.6167196189127531,0.5860586653370186,0.9775968052987194,0.8593043561089263,0.8095269516912742,0.7441536643983373,0.7227957756690062,0.49472324930885264,0.8877259339798702,0.4846061686839823,1.2384835472657294,0.2515172011323056,0.4866416737382142,SUCCESS,,,6017d95d877bf28e497abca8d828287dcc373f2268dcfe1bd03537d27fd585f9,d3d32d6e7cfc7c1b2e8b9a7116789f386c592e5a4a2f5253cc9493b8e54bbe73,137210457.38693085,P1,0.0,514011.74449037784,8771093.02789268,0.0,0.0,0.0,NONE,NONE,NONE,7975014.2749022,0.0,0.0,7975014.2749022,omega_21,5,0.0,129235443.11202866,200942750.08676592,0.0,1.0,0.0,0.0,0.0,3290000.0,843125.1602395165,196809624.9265264,certified,PASS,df55cdebb0bc588b55432befa45760515e27d3ef8fbc12ae157980902a6da91d,150043ffa7726838e2feda539e3540d8b2a0a3d553373d6f17ee472eb53ab9b1,801d09b127968c3882cd55c69a10f34b7a25a7db6ac0fc3808f14914628792cf
M2,A1_full,7975014.2749022,4.0,1.0,"{""crackers"": 14000.0, ""vaccine"": 10.0603621730382, ""water"": 1000.0}",0.0,1.0,921e6b27c4e6f839252255fd6ee480d649e3400cc9a9001a3ecb3548c80a7217,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,849a4e92e8364da53840bf9f8f533a67688e6664,55f739841a247c2abdef5dfef9ade8db57c2ed05,LA-0010,10,20260903,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,0.8681563617215428,0.8354692606685634,0.8196318328311458,0.7581578131883597,0.42991755800513093,0.8666602673378188,0.852806321855718,0.82102140244804,0.7862198435485057,0.7840824693776616,0.07013862371514837,0.7051026389519095,0.2849293008488001,0.9280776180784069,0.11115475322102901,0.2201827511105156,SUCCESS,,,e8af104bc16244818a6c79822a845fef51e34fd7f9ce105a60df5be0d9fd9d6a,251ed5cc4182074c96eb89197d9b0c4dbb0da2212923f30cd92dab26809c97ab,131205175.80910811,P4,0.0,0.0,0.0,0.0,565940.9369672269,0.0,NONE,R0,NONE,0.0,2243998.9118237053,0.0,2243998.9118237053,omega_21,5,5731015.3630784955,123230161.53420591,205940621.82980394,443744.3673791708,1.0,0.0,443744.3673791708,0.0,3290000.0,700621.8298039292,201950000.0,certified,PASS,a6e4e3d9c3f622e29171a712ef8e266a884a1ca2662aa77f09f25b6cbd42f78a,c95f47a663e34b4608f9c93a4672b4b1cd53a35347e96764a7d34f27c66cb8bc,6fecdfef8e95a52e5b43d88b5102acd969c464342a94269f099801c2c0b3080e
