simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0001,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,True,True,,1136111060.572754,1136111060.572754,0.0,1.136111160572754,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,fbbe57b4ca1b674ba6dde79537bbf86fe7db5aeb9875c9313a903c7943cbf969
LA-0002,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,True,True,,1219748907.5374959,1219748907.5374959,0.0,1.219749007537496,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,8c8086d87822eec09013b16321f67043900f2ba59df499c18f6893eb5c3214c4
LA-0003,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,True,True,,1221369874.0542448,1221369874.0542448,0.0,1.221369974054245,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,0632c591f78acf7d766566b0ed6fe28b5fa880ba12c55308b35fcbf749312a03
LA-0004,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,True,True,,1221485714.5733078,1221485714.5733078,0.0,1.2214858145733078,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,05d40ac1ba44cc787262619c86aceff32531b2b85a3ff31fd8476fa845ea13be
LA-0005,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,True,True,,1232317703.198293,1232317703.198293,0.0,1.232317803198293,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,213552df7c5c44e21c025b30259e8914bae761845edf97694e713c33960c36ac
LA-0006,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,True,True,,1229511266.3128974,1229511266.3128974,0.0,1.2295113663128976,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,ab259b155f9734f5c1b853cdc18bc1cacf4cda3ef8a99e2249c4ec4fe38fe51b
LA-0008,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,True,True,,1234916740.0606904,1234916740.0606904,0.0,1.2349168400606905,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,8d263536d0def65784fdaa5717022b1ef73e38fd34e14008127a71ee2b3af986
LA-0009,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,True,True,,1232577852.7326305,1232577852.7326305,0.0,1.2325779527326306,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,12565c1a8b5c5cb1f2e3c94a8963c67c76e3dad02fefa90ec54a62aa609d76f9
LA-0010,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,True,True,,1218913391.3329117,1218913391.3329117,0.0,1.2189134913329118,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,6b7d0ee94727858accd40bd1e48b3b39782bb5d8a9376488a08b478f1d301424
LA-0011,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,True,True,,1220843353.6435332,1220843353.6435332,0.0,1.2208434536435333,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,cc583c05688026551ac2c18b25abec364608c32a7e258cab0f998f7a8d668898
LA-0013,bc772f5c68c2a5c12ac82feed6fbd90db6b85103f3312eab4179164c9d4e88f5,True,True,,1218333926.7946086,1218333926.7946086,0.0,1.2183340267946088,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,157dae063a14a39f6c4cfc90897dc8d440ac7cb692da5e050174b1731108add2
LA-0014,9d4bc8f108e222b9004ae3749404dd15c5af542ba54e3695e483c3ab081694fe,True,True,,1203262109.9878798,1203262109.9878798,0.0,1.2032622099878798,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,80460114873281fba5cfe6ac1514d1f0e58b6fa3349375f2a55fa28320efa4c3
LA-0015,092ddd62a98a4bd89bf76f067ac2de26c73a2fb505374668c940be8fe91083b9,True,True,,1222278285.1948965,1222278285.1948965,0.0,1.2222783851948966,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,e644a5c71eebe35e776ded98601b22e28817174257d542199d3fa25397c10616
LA-0016,b2ff17041ea2f1be7864efa886f0891854b8633d52a824c042ee5a29d0f2043b,True,True,,1192754814.0843751,1192754814.0843751,0.0,1.1927549140843752,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,e896cab3ca46bb272414b609806810585e2076f8f54fee58a63bcd573a4a650b
LA-0017,9d8be22567afcabbf94ce470787e9f63ad71892883ca72fe79ea5ccd3e06ce5e,True,True,,1183466641.5846212,1183466641.5846212,0.0,1.1834667415846214,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,4de476f90542971aef884d8f96899108bf9cc1be30442e6816dc66c5769a9907
LA-0019,9770a34977e95b015e0cefe0df348623152eb9589c95eaf2349fbd268071b51a,True,True,,1216771034.646203,1216771034.646203,0.0,1.2167711346462031,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,1339eb45c37dbf92f8570a7a29bc57cb3e7702528139e69008a6702072e972cc
LA-0020,3c0d1d5974307dcb77a0b9e21ab6afb89052e6f263f5080ada8651af93c00448,True,True,,1189930952.4743433,1189930952.4743433,0.0,1.1899310524743434,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,1064ccf46f1a61bb732637cf27e44e93f3eeed02a8195b7c464b495c966adf8c
LA-0022,6bb63a048030f05350d49e0f95e43d5d1d8afce87fc056fd4148eceb507c86a1,True,True,,1228734743.3155932,1228734743.3155932,0.0,1.2287348433155934,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,125f8cae6a74166e96cf49f00d2653b2fbdab53159816e2bc03898b2c367dfea
LA-0023,6e9f2f6ea49a02cd8d73697d95a8c6eec0807082c1aeab51b67a21fc03ab6414,True,True,,1224529167.9591959,1224529167.9591959,0.0,1.224529267959196,0.0,P4,P4,h09,h09,NONE,R1,NONE,NONE,R1,NONE,83853728534cddb97a00ab6f12e701d756f5791814ffce2fa83db5b49d8b7c36
LA-0024,6d7ec27518715e008327d137620c14c125fdf032d00924b93febb86e631fc003,True,True,,1199923407.196053,1199923407.196053,0.0,1.1999235071960532,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,4eb3d8b386f6b55270167abb5f197350084193abcf2d849b03c1dc15083118ec
LA-0025,b39feb6eea784bceddaca092dc4e701505742600b01cf7a26c64501d926a458d,True,True,,1168146206.429906,1168146206.429906,0.0,1.168146306429906,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,7c616ee68645492aba5448381fe9bd47826ada674517960638687bfd5c8defd5
LA-0026,5bd990e15e3b22f43439e71e7147d7b7a93aff1ba487719ad0800d6c597820ef,True,True,,1205273597.7788215,1205273597.7788215,0.0,1.2052736977788217,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,82acc10aa17208108489b6d3c9f4259181b0cb01331fc382ad72c80a818790aa
LA-0027,cfaddbaf41730539abdb391ae292a542c1e5974c9fd363235b711ece4c2723a3,True,True,,1230433543.5837827,1230433543.5837827,0.0,1.2304336435837828,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,894c63986468028b0b39a063b4d47e1f5962216703953e4c0a0f094d75eb725b
LA-0028,aab4e156e74d50b9f94f91a8b11877f4b196c90dbefd3a9eafa7abaf3557a3f5,True,True,,1219720674.269935,1219720674.269935,0.0,1.219720774269935,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,a76b2d6ed5cb6cea5f22a943b245a93ba0b4a9a2cdc9711d0a63d4b71585263f
LA-0029,3ede3239a767640a2b33456598c460234d288524ff970adee2257294e953bd1e,True,True,,1241156760.811964,1241156760.811964,0.0,1.241156860811964,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,bf15b3557a2cb09467fc72a76e5e22ab00ce770e8b9d1f01ef0d6e54ce6a5ca0
LA-0030,3d7857406de0967b7bf34da5156d7448d34b2cba7b03a628e6a34b750f8e0bd9,True,True,,1220103753.7440357,1220103753.7440357,0.0,1.2201038537440358,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,59408ee6976ce5133d932a4eed1b27e242da28f7017498613794e2975ee3235f
LA-0031,b2c9f84e097e6d8b1c2a028c778645835d20281cce23904d36809ef099ff2353,True,True,,1206134988.968553,1206134988.968553,0.0,1.2061350889685531,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,1fe2124387dec147b3f14c92d1bf9a1578355da546564345672ccfd0182591fd
LA-0032,f4f35be64e2a6a66797bef3bd06352c0e954577920dbaa334c40d418f72f6054,True,True,,1214465608.3216648,1214465608.3216648,0.0,1.214465708321665,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,bcbbb68709536c9c851e98a16b36194a6228436c0e3d0d1db6a3392593b09f5d
LA-0033,242bd65776afa513ff3a5e721f1af0cc3162b4bb19d3be12cea27cfa5d59ec75,True,True,,1224473179.2996075,1224473179.2996075,0.0,1.2244732792996076,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,537b54b7c53d0aae2f569ce1d6b8fd0c86a8029ea7e498713f3f71944daba380
LA-0034,b6a09f1b58b2fbf1794374e4eee392d33de36403806d9cac077fea29336b5fb6,True,True,,1241144141.4574385,1241144141.4574385,0.0,1.2411442414574385,0.0,P4,P4,h09,h09,NONE,NONE,R1,NONE,NONE,R1,b514217719e02fe5fc7c4fbdfe7a9fff969e12cdd4115d16c42e4897d0ecb811
LA-0035,61f86ea9a5d637c6ba13dfbab345847baad40c87477b380ef07cefed17bc2ee7,True,True,,1219027880.766495,1219027880.766495,0.0,1.2190279807664952,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,43dd5625ea491864460ee75f21553b76386391d20d997f225782484431abd639
LA-0036,dc589e9611db23a52a37f76fc3061c6adf7b0550514c9a79a8599a2a229640c3,True,True,,1222249346.9902213,1222249346.9902213,0.0,1.2222494469902214,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,f6396843c2925e9c5fce631a97e2d08215942f34c21846265e9129b5bbd11eac
LA-0037,076714fd9cb671dae097942b2788699ab4a59bd70d0226aa5bff62ff1898008c,True,True,,1221759855.367446,1221759855.367446,0.0,1.221759955367446,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,44da2273827c08420d2f864b698589c0d22295636b34cdc2a3c7710cb96dbe95
LA-0038,89f966ec01f9161594e9c468aea3d0124920b3e6697dcb8ee83c1208d6d6accb,True,True,,1208106992.4675512,1208106992.4675512,0.0,1.2081070924675514,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,b9ab6fc9bf6d56d0acd306a37b55685d1585337a5f55ef4c8b2f338f6d6f1313
LA-0039,989083481f8c8e1d92827ab6e3b3a1a7daa5639541c84d86e9938502fbe4d1ff,True,True,,1227017632.4595582,1227017632.4595582,0.0,1.2270177324595584,0.0,P4,P4,h09,h09,R2,R2,NONE,R2,R2,NONE,872eedb9add7461de09cf5c6fffc289836f867b05db7d4c66aa5d63cc7f0cc17
LA-0040,d96f96c92f75caf4a165983b3537136207ba37cdf9fac7b8c2d861d19fafc5ef,True,True,,1234285258.389351,1234285258.389351,0.0,1.234285358389351,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,292ceb16ed4f172727ebfcfc562856014c17b4ca27441566ff353ceb597c826c
LA-0041,9cfb0aa8009501c8cf4ad5bb5f9eb0103a867118c526a601262f68d58cce0c0a,True,True,,1223699165.4363012,1223699165.4363012,0.0,1.2236992654363015,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,ced5750f0005f4be51ca46d7b549dd20ce450fc14b16ecccee831b3a79a87f14
LA-0042,393faeb85edb61ac878ab484b8811ee87e96c23c3f5d345b8e5bbf065782fdb1,True,True,,1202070017.2036805,1202070017.2036805,0.0,1.2020701172036807,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,6268c7caf677c343a6822575a2e0510066a9a0cb3b563825a6fa883d7dc6f029
LA-0044,a038cf45cee562876a7617518296aa0442df2ad4ac8f6514371e7f89246f5f5a,True,True,,1225170364.8547447,1225170364.8547447,0.0,1.2251704648547448,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,8d86e8f9b2424cc7f06900aa5c771abefb9cd3fa403783caf4f9fd18cf60dcab
LA-0045,dcfa9d2ea24f4d13a681c78f3478e0d05b21b1da8abdbf8fdf1901b220016805,True,True,,1219641441.0068252,1219641441.0068252,0.0,1.2196415410068253,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,5adbdc66c9b89e38ed6df6f927d1f4818e0babe948f4593142aa17f6311d8e8d
LA-0046,3cba3e3157cbcca2cddfbd5c637816c67179bbbef11619437f20dd61d190c530,True,True,,1223318185.0253854,1223318185.0253854,0.0,1.2233182850253854,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,21dc64ba58b7a4eda1b8b0c6ebd7284bf38f175bf2aec82089d33afd5757ef65
LA-0047,fd2ce38681f35c0793562ad74e3fe7246a6d119841da06d92a85d136281118ab,True,True,,1181576802.5298915,1181576802.5298915,0.0,1.1815769025298917,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,a6c5cedbb51c57bce734edf72507811fb7b6a69098136126f17e6427d639b47f
LA-0048,094350cdea0997d0c0c41a1c2a14236c8020c9c96601c54849ba12b930a914a4,True,True,,1237156943.1512485,1237156943.1512485,0.0,1.2371570431512486,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,e69f51a06525e3f5ef0da14246ce5b95dae03fc8021cbdd7dd5d513735086903
LA-0049,2095319ddb1639bb7caea136d97f9321b89043cb6f9f0bac4ba4a22b99e05087,True,True,,1233480459.1859336,1233480459.1859336,0.0,1.2334805591859337,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,fffc33e03155f1a0c4d424ec38ef6b3e3bad9b50716b33806bb1cbb6c6c0a527
