simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0001,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,True,True,,1136111060.572754,1136111060.572754,0.0,1.136111160572754,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,974504d20372025d2ff4e325b4246703c764ba37a779a69aeed2c9005775d00b
LA-0002,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,True,True,,1219748907.5374959,1219748907.5374959,0.0,1.219749007537496,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,f226b6695c60915a721627e4cc23c0a680f1b6caa14edd4a5fe13058d8d14411
LA-0003,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,True,True,,1221369874.0542448,1221369874.0542448,0.0,1.221369974054245,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,cb4c3c99c97e10de3fa3043ba097c136e88d39dbc60ba7db7ea37162cba71dad
LA-0004,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,True,True,,1221485714.5733078,1221485714.5733078,0.0,1.2214858145733078,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,336d9eb49d9721670ed74b54702c8c0dcf7cf9802a785987a688900ac1c69341
LA-0005,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,True,True,,1232317703.198293,1232317703.198293,0.0,1.232317803198293,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,26ac69c5da89042de8424155aa706f356e43baec21bae3e54d11f0003fa3cdd3
LA-0006,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,True,True,,1229511266.3128974,1229511266.3128974,0.0,1.2295113663128976,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,5a8baeb9eb236f5e8b45c53c32c47c0f660cd1ceed011863df4cfd8871bc4923
LA-0008,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,True,True,,1234916740.0606904,1234916740.0606904,0.0,1.2349168400606905,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,f481f1d95e6dc9ec43179179e12fdd70fe1f699b579e6d4d7a8134a4eb8d111a
LA-0009,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,True,True,,1232577852.7326305,1232577852.7326305,0.0,1.2325779527326306,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,6a971be7f1fb1cb789183bb00af47891031908f22b392d1c37ca293ba7f48ead
LA-0010,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,True,True,,1218913391.3329117,1218913391.3329117,0.0,1.2189134913329118,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,19de547332f435c1db85f21b4cc5afb47fda82a45c10083079dc3c8d7c4b5db5
LA-0011,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,True,False,first_stage,1220843353.6435332,1220843353.6435332,0.0,1.2208434536435333,45582792.424537465,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,89d7b3e791c033c5807f6538ceaf58b03665d03fee2f6fe08ae176a416465dbe
