simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0001,1,SUCCESS,,,0.49928869993891567,0.23122989980038255,3,1,0,1,3,3,2,2,53,1136111060.572754,1136111060.572754,0.0,certified,PASS,h09,PASS,unavailable,95864d07a87d26a54bb7aeb95b8084eb850e141f4cced1a925a6998963401de5,6cdce9d1c0b2c6f7966ea28d9580e81c2be24c822dc8ac89e1cfd7c1c86b0aae,True
LA-0002,2,SUCCESS,,,0.5248003000160679,0.2576611000113189,3,1,0,1,3,3,2,2,53,1219748907.5374956,1219748907.5374959,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,a2e00389f5688131194e41d96aa2d9493ebf1971bccac74de8241a8257aa89d4,e4897702e7ad0dec66f48bff5a2c151fe61a72ca2085a1e4a04e7b9327330304,True
LA-0003,3,SUCCESS,,,0.6326141000026837,0.3005134994164109,7,1,0,5,7,7,2,2,57,1221369874.0542448,1221369874.0542448,0.0,certified,PASS,h09,PASS,unavailable,2bad25062423bcad6531d9dd6d36c1ce33c3fb7b7a5dc741e68cfa2b6f0ddad8,d4851a3ec73ec3f3fca076f14bedebfd331122eaf3a31282a43e1d540375313b,True
LA-0004,4,SUCCESS,,,0.5234475999604911,0.25236979965120554,3,1,0,1,3,3,2,2,53,1221485714.5733078,1221485714.5733078,0.0,certified,PASS,h09,PASS,unavailable,2c979c8bab66a838bf029b7759c005e4921c96a6fbdae3963e3fe53d405ce214,ab13240a11d481b08e6a25bcc13975bea1a52059514608f9a1849555b49ab489,True
LA-0005,5,SUCCESS,,,0.6019037000369281,0.27871729992330074,6,1,0,4,6,6,2,2,56,1232317703.198293,1232317703.198293,0.0,certified,PASS,h09,PASS,unavailable,993c0bd2f3f7782ef7496fcc1382e1b4cf242d5d461f463aadead0da9c87a5cf,40bd4ae05da06ef5f75292b04b26989239d6288910f8c552669193fcdb4282c6,True
LA-0006,6,SUCCESS,,,0.5181671000318602,0.25059879990294576,3,1,0,1,3,3,2,2,53,1229511266.3128977,1229511266.3128974,0.0,certified,PASS,h09,PASS,unavailable,e3a00cc356ab260feeb0586412b70498f6c745b82a2f44f131a2cfec5b88fc42,fcda168bee154710d27095851661f88a0d37de865e5199260f1fdbf82f40e998,True
LA-0007,7,FAILED,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
LA-0008,8,SUCCESS,,,0.5035253000678495,0.2387753997463733,3,1,0,1,3,3,2,2,53,1234916740.0606904,1234916740.0606904,0.0,certified,PASS,h09,PASS,unavailable,99885c866b9601e80776b2b63fd948317eadd6311b9cb67d0cace6dc7f5c020d,957e879c1970a9aab597245c3c061775ef37d49d308984f859fb214c2acdaacc,True
LA-0009,9,SUCCESS,,,0.525345699978061,0.23840810055844486,3,1,0,1,3,3,2,2,53,1232577852.7326307,1232577852.7326305,0.0,certified,PASS,h09,PASS,unavailable,9d890ced16e057172b5fcff4dd727aebefb68b77bbf203f3fbb05efd250fb14d,0a7bd74aea78e014b241c394f129f729ef94bd88f2a13e6868f49ee84eed153c,True
LA-0010,10,SUCCESS,,,0.5278410000028089,0.2510697996476665,3,1,0,1,3,3,2,2,53,1218913391.3329115,1218913391.3329117,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,8a8be9677610d2925287d93117ec49948d2d83e9fea5158f24126f53339a35b4,7e7f2e842fdb30cfb4b12c68bfe6b8eb56a1143a2dac73dfe12b5bc6ca45838a,True
LA-0011,11,SUCCESS,,,0.6587421000003815,0.3114096998469904,7,1,0,5,7,7,2,2,57,1220843353.6435332,1220843353.6435332,0.0,certified,PASS,h09,PASS,unavailable,e84a5e59270010089e8faadfce80cac619433c1e9a3464a54fe53e710034da33,45aeb62b96a03d50b2a9ab96556d77bb2ca8a7aad213d1da62c12ee4b9829a38,True
