simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0001,1,SUCCESS,,,0.5066984000150114,0.23809229990001768,3,1,0,1,3,3,2,2,53,1136111060.572754,1136111060.572754,0.0,certified,PASS,h09,PASS,unavailable,95864d07a87d26a54bb7aeb95b8084eb850e141f4cced1a925a6998963401de5,f56cd5510b07d97e953043bd26f09623c06a1e29900e1646743938086a799ed2,True
LA-0002,2,SUCCESS,,,0.5004187000449747,0.23310709954239428,3,1,0,1,3,3,2,2,53,1219748907.5374956,1219748907.5374959,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,a2e00389f5688131194e41d96aa2d9493ebf1971bccac74de8241a8257aa89d4,0a1b43aff8d0ffb8e4a96f27d55952b14f7197264f6e5178530d69e1571d2d31,True
LA-0003,3,SUCCESS,,,0.6267542999703437,0.2957607002463192,7,1,0,5,7,7,2,2,57,1221369874.0542448,1221369874.0542448,0.0,certified,PASS,h09,PASS,unavailable,2bad25062423bcad6531d9dd6d36c1ce33c3fb7b7a5dc741e68cfa2b6f0ddad8,5c1b05d7c82ea6c769e38692dbef34a0d6740117a8e788fb0763a9e92b82f3d8,True
LA-0004,4,SUCCESS,,,0.49678180005867034,0.23351699952036142,3,1,0,1,3,3,2,2,53,1221485714.5733078,1221485714.5733078,0.0,certified,PASS,h09,PASS,unavailable,2c979c8bab66a838bf029b7759c005e4921c96a6fbdae3963e3fe53d405ce214,19e3fe218ce801e0700dd5581f73705fc48ef463570052344c3faa425158769a,True
LA-0005,5,SUCCESS,,,0.5960970000596717,0.27646260033361614,6,1,0,4,6,6,2,2,56,1232317703.198293,1232317703.198293,0.0,certified,PASS,h09,PASS,unavailable,993c0bd2f3f7782ef7496fcc1382e1b4cf242d5d461f463aadead0da9c87a5cf,350e0a25023c50f1a101a7f95ceff81350f92d2123f455e02aaeac71b7999ae9,True
LA-0006,6,SUCCESS,,,0.5097498999675736,0.24026699969545007,3,1,0,1,3,3,2,2,53,1229511266.3128977,1229511266.3128974,0.0,certified,PASS,h09,PASS,unavailable,e3a00cc356ab260feeb0586412b70498f6c745b82a2f44f131a2cfec5b88fc42,722a0f471c7962db024b5f47e5cdede063a00e2d3f1a2944a8cf15b96c1e00ab,True
LA-0007,7,SUCCESS,,,0.5223068000050262,0.25592900055926293,3,1,0,1,3,3,2,2,53,1225804644.0397644,1225804644.0397646,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,48d252a82e25d7217877a39024e2093af6c0e4a4f82a11f4c559fedf4de50d9b,60f130e47a20dc1561035f92eadd19d37af595227f68533bcc2e89cb91d03bfd,True
LA-0008,8,SUCCESS,,,0.5123778000706807,0.24280970031395555,3,1,0,1,3,3,2,2,53,1234916740.0606904,1234916740.0606904,0.0,certified,PASS,h09,PASS,unavailable,99885c866b9601e80776b2b63fd948317eadd6311b9cb67d0cace6dc7f5c020d,7a85628cdc0708d99370b85c9ccefe7d10e27680246529e9080716816d966e27,True
LA-0009,9,SUCCESS,,,0.5172004000050947,0.24294460017699748,3,1,0,1,3,3,2,2,53,1232577852.7326307,1232577852.7326305,0.0,certified,PASS,h09,PASS,unavailable,9d890ced16e057172b5fcff4dd727aebefb68b77bbf203f3fbb05efd250fb14d,3ac0697dbb882c12ff8f7d439906e752797c247ac0ee0bde37e74a536e8e5c65,True
LA-0010,10,SUCCESS,,,0.5400845999829471,0.24312410014681518,3,1,0,1,3,3,2,2,53,1218913391.3329115,1218913391.3329117,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,8a8be9677610d2925287d93117ec49948d2d83e9fea5158f24126f53339a35b4,8b26ed858473578c34cc9c614d77180050fd882541797b2269b34c1b916ab0f0,True
LA-0011,11,SUCCESS,,,0.6608747999416664,0.3110304003348574,7,1,0,5,7,7,2,2,57,1220843353.6435332,1220843353.6435332,0.0,certified,PASS,h09,PASS,unavailable,e84a5e59270010089e8faadfce80cac619433c1e9a3464a54fe53e710034da33,d0ab03cd4fee2b8cd86fda6670be2733cebf411600d887169e3482accd391517,True
LA-0012,12,SUCCESS,,,0.5455309000099078,0.25538530061021447,3,1,0,1,3,3,2,2,53,1165686948.271296,1165686948.271296,0.0,certified,PASS,h09,PASS,unavailable,cf52d4cd3da76902a6ccd66d82679b38b69588e64991a1cd292de820d1879b0c,0fbf6f19ebb71f4ffcca0292c84e86d428b1260c15de9d19595d0f4f9d0aed9e,True
LA-0013,13,SUCCESS,,,0.5396560999797657,0.26385370071511716,3,1,0,1,3,3,2,2,53,1218333926.7946086,1218333926.7946086,0.0,certified,PASS,h09,PASS,unavailable,d17ed11e01d3eaa53a4399ad8ee1b688911c0f5f0493c0b5917d66176eaf684f,67c4358f3214bd04be9964bbe4eea1928e3981f5428d9b7231ec23d374aee3b7,True
