model_kind,algorithm_kind,budget,shortage_beta,demand_scale_gamma_D,demand_scale,h,a,simulation_config_sha256,sample_table_sha256,execution_git_commit,execution_git_tree,simulation_id,sample_index,simulation_seed,input_sha256,rho_Q1,rho_Q2,rho_Q3,rho_Q4,rho_Q5,rho_F1,rho_F2,rho_F3,rho_F4,rho_F5,eta_1,eta_2,phi,psi,c_R1_ratio,c_R2_ratio,status,failure_type,failure_message,data_sha256,scenario_sha256,objective_T_COST,policy_label,Q_Water,Q_Seasonal Influenza Vaccine,Q_Crackers,F_Water,F_Seasonal Influenza Vaccine,F_Crackers,R_Water,R_Seasonal Influenza Vaccine,R_Crackers,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,worst_exercise_Water,worst_exercise_Seasonal Influenza Vaccine,worst_exercise_Crackers,worst_shortage_Water,worst_shortage_Seasonal Influenza Vaccine,worst_shortage_Crackers,convergence_status,certificate_status,a1_result_sha256,first_stage_sha256,oracle_sha256
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0001,1,20260903,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,0.922521227429794,0.7452023812062128,0.7418704554268403,0.7219298543549457,0.7047806081548735,0.8760720882194385,0.8611413946407805,0.8026564335238286,0.8006439855649403,0.7698499621134767,0.38351093915006096,0.4951211148465382,0.002071930421536967,0.5194839916445723,0.15581621844524082,0.38551636721752913,SUCCESS,,,fe18c02e2d384b10965b30688bc706c3dc4579dfba970c7ad1b4c220dc90162e,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1136111060.572754,P4,0.0,0.0,0.0,13509125.819073599,0.0,388293067.458992,R0,NONE,R0,0.0,93528.36280033394,0.0,93528.36280033394,h09,5,Katrina,18052877.14864899,1117964655.0613046,1572629940.7921557,309327403.2722306,1.0,10400000.0,0.0,298927403.2722306,0.0,9557344.06438629,1563072596.7277694,certified,PASS,51ee7c765c7f9242f9dec3d8fb7a0b1c24fcde1ce66122a5785936df2b9b6980,95864d07a87d26a54bb7aeb95b8084eb850e141f4cced1a925a6998963401de5,f56cd5510b07d97e953043bd26f09623c06a1e29900e1646743938086a799ed2
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0002,2,20260903,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,0.9341181087069085,0.8953404556082157,0.8497989175397563,0.7564349138952171,0.7270750636927024,0.7603083924372587,0.7501372180537771,0.6821940630391552,0.6123965277608744,0.5621865826622061,0.3082333336370004,0.7189467751517306,0.38832017244636113,0.6202262325217449,0.221749594383684,0.5886617297328387,SUCCESS,,,c5c671d9a2ac86e254cbb8f3a2ab67ace2066c72f5de635bb4dadfcfcf2848ef,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1219748907.5374959,P4,0.0,0.0,0.0,0.0,1769322.144901547,0.0,NONE,R0,NONE,0.0,9561175.393543288,0.0,9561175.393543288,h09,5,Katrina,8585230.117906034,1201602502.0260465,1880962654.8941154,994689.1702707653,1.0,0.0,994689.1702707653,0.0,10400000.0,8562654.894115524,1862000000.0,certified,PASS,e6834ded56c529c1c42d6c1b29c2c278e9065568ea2761f22468b5765497c026,a2e00389f5688131194e41d96aa2d9493ebf1971bccac74de8241a8257aa89d4,0a1b43aff8d0ffb8e4a96f27d55952b14f7197264f6e5178530d69e1571d2d31
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0003,3,20260903,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,0.8070071265150788,0.7743118395359756,0.7653055361477155,0.7467729448876879,0.7404691169181075,0.7049939316796755,0.650793227523168,0.6359465649326758,0.42818809136278885,0.32343126087269347,0.20231421566201296,0.5631132543292243,0.33565698051100795,1.0595438692484767,0.09400434498139602,0.22539981000768083,SUCCESS,,,223fda5a7502c330d304a0d487d8f3d462b76e6cb2f73d6fbe50fe0863d6a7a1,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1221369874.0542448,P1,10939658.094400566,610654.5166817467,27346571.804981727,0.0,0.0,0.0,NONE,NONE,NONE,18146405.511449322,0.0,0.0,18146405.511449322,h09,5,Katrina,0.0,1203223468.5427954,1853155402.4099576,0.0,1.0,0.0,0.0,0.0,2299521.0314531866,9105173.253676903,1841750708.1248276,certified,PASS,568ead5a898b1f64828d7c0d50a36a3db43ba5c831572066218a4a6acaea2270,2bad25062423bcad6531d9dd6d36c1ce33c3fb7b7a5dc741e68cfa2b6f0ddad8,5c1b05d7c82ea6c769e38692dbef34a0d6740117a8e788fb0763a9e92b82f3d8
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0004,4,20260903,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,0.8221395220428599,0.741196974705498,0.7327059146026832,0.72761989667496,0.6155313669357059,0.8929695323254209,0.8071585192510689,0.6848359897984746,0.47837390074635283,0.4523760255702268,0.32867265098503873,0.5300461697194285,0.07944032169653636,1.1778053590043958,0.243997007582195,0.36643315455048153,SUCCESS,,,4fae3f6031d28a76e92b8f55ac6e829942750932ca4d1665aa58e74a42a7fd78,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1221485714.5733078,P4,0.0,0.0,0.0,0.0,0.0,316248639.7864611,NONE,NONE,R0,0.0,2354517.595757877,0.0,2354517.595757877,h09,5,Katrina,15791887.915691445,1203339309.0618584,1738894041.3057969,143063302.7585896,1.0,0.0,0.0,143063302.7585896,10400000.0,9557344.06438629,1718936697.2414105,certified,PASS,6278e724d7528baee3c13a05efc01b0327b8c7f192b128be48a100389c52f4c3,2c979c8bab66a838bf029b7759c005e4921c96a6fbdae3963e3fe53d405ce214,19e3fe218ce801e0700dd5581f73705fc48ef463570052344c3faa425158769a
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0005,5,20260903,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,0.9693823848132163,0.8778036260238016,0.8670121839170131,0.697425014434226,0.5896427020512514,0.7086404186405618,0.6560528226474139,0.5534219471773951,0.5474990805111646,0.5323392820396154,0.14984413737456603,0.7922432540765625,0.44017313801230057,1.1428479479630251,0.0570769506862477,0.18299684330340973,SUCCESS,,,68432aaac13e1317766ff11eccd1b9195686819fa4b53ae9113e2b15acb131c4,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1232317703.198293,P1,0.0,1303995.7970285513,0.0,0.0,0.0,0.0,NONE,NONE,NONE,18146405.511449322,0.0,0.0,18146405.511449322,h09,5,Katrina,0.0,1214171297.6868436,1881188452.459163,0.0,1.0,0.0,0.0,0.0,10400000.0,8788452.4591629,1862000000.0,certified,PASS,841bf1843bf35fc4518ccadd0d2285cb7d75200608d6b687eee4a0d96038800e,993c0bd2f3f7782ef7496fcc1382e1b4cf242d5d461f463aadead0da9c87a5cf,350e0a25023c50f1a101a7f95ceff81350f92d2123f455e02aaeac71b7999ae9
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0006,6,20260903,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,0.8160641414602561,0.7917365247037459,0.6565169186322943,0.5351640775642301,0.4189678247501644,0.8599189710742645,0.8513839076953441,0.7888434892440566,0.7637745037339543,0.5954776084694967,0.14659492939636729,0.8262602402911685,0.4011770765818714,0.9604058962344366,0.07340987471879275,0.18563696459542925,SUCCESS,,,f8de941036c0b08f63d321ebfdbd26ff084c382c661d2d4e9ea6a3f13764c31b,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1229511266.3128974,P4,0.0,0.0,0.0,0.0,881244.336626926,0.0,NONE,R2,NONE,0.0,4919793.431867816,2276539.6440643524,7196333.0759321675,h09,5,Katrina,10950072.435517155,1211364860.801448,1881138035.0100863,819309.0542999118,1.0,0.0,819309.0542999118,0.0,10400000.0,8738035.010086378,1862000000.0,certified,PASS,611970584e7c0ad2fa79eee3debb084ef53403f29993ea6d8a5eee2f0ae3712e,e3a00cc356ab260feeb0586412b70498f6c745b82a2f44f131a2cfec5b88fc42,722a0f471c7962db024b5f47e5cdede063a00e2d3f1a2944a8cf15b96c1e00ab
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0007,7,20260903,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,0.9050547676637114,0.8455286986146096,0.7027936121718653,0.6971074063313801,0.6336789960387299,0.8986023763330586,0.7224664113375998,0.7183419074792169,0.6242899298066482,0.469463585287724,0.20725263438310682,0.7366776951050362,0.05552381086764615,1.3536768038735594,0.12971378592248706,0.20810758090970125,SUCCESS,,,f82398dc91022460370c32ff1add357a24a4b1317c13151605cb9b2e5a95b24d,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1225804644.0397646,P4,0.0,0.0,0.0,0.0,0.0,280197389.04322845,NONE,NONE,R0,0.0,1458060.7869616249,0.0,1458060.7869616249,h09,5,Katrina,16688344.724487696,1207658238.5283153,1750414873.215893,131542470.84849326,1.0,0.0,0.0,131542470.84849326,10400000.0,9557344.06438629,1730457529.1515067,certified,PASS,43d8e2605054a3554ab76a359f157ca22f06fb1d4d22ae2390d23861192e09d6,48d252a82e25d7217877a39024e2093af6c0e4a4f82a11f4c559fedf4de50d9b,60f130e47a20dc1561035f92eadd19d37af595227f68533bcc2e89cb91d03bfd
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0008,8,20260903,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,0.9792444797653141,0.9013583879762508,0.6243386122593421,0.5546427952902904,0.5538362049910261,0.773236113732509,0.7348353177144263,0.6028065045312001,0.5842626135047929,0.481608396818914,0.40155053831225107,0.8760158066854603,0.25037527191324255,1.4839278185106197,0.05018832949515882,0.17601281812712813,SUCCESS,,,b5a68740064c399157ace0a0bf24e85487b75317ac5b465980880aacdbdbada1,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1234916740.0606904,P1,1011129.2742392558,1124794.421068672,19620763.091473687,0.0,0.0,0.0,NONE,NONE,NONE,18146405.511449322,0.0,0.0,18146405.511449322,h09,5,Katrina,0.0,1216770334.549241,1869907703.221217,0.0,1.0,0.0,0.0,0.0,9840000.0,8934392.190826537,1851133311.0303903,certified,PASS,c6c26dfd4a78858095ad6df5a7b524954aa2fe03ed5cabec54d8daf5d43c1da0,99885c866b9601e80776b2b63fd948317eadd6311b9cb67d0cace6dc7f5c020d,7a85628cdc0708d99370b85c9ccefe7d10e27680246529e9080716816d966e27
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0009,9,20260903,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,0.9438978837759708,0.9324302440318135,0.8379799389456358,0.6167196189127531,0.5860586653370186,0.9775968052987194,0.8593043561089263,0.8095269516912742,0.7441536643983373,0.7227957756690062,0.49472324930885264,0.8877259339798702,0.4846061686839823,1.2384835472657294,0.2515172011323056,0.4866416737382142,SUCCESS,,,e5b21c45b92c0687332fe4cd295bc12d02abfeb82237003b65be42a81fcddbef,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1232577852.7326305,P1,417671.09656631807,1186104.858525904,14618488.379821133,0.0,0.0,0.0,NONE,NONE,NONE,18146405.51144932,0.0,0.0,18146405.51144932,h09,5,Katrina,0.0,1214431447.2211812,1872450145.4795227,0.0,0.9999999999999998,0.0,0.0,0.0,10155220.234596495,8862217.034048844,1853432708.2108774,certified,PASS,88c4cbff22d314aa60201b196154810674b5798ee964e0ffeb8cb64ef3e555b3,9d890ced16e057172b5fcff4dd727aebefb68b77bbf203f3fbb05efd250fb14d,3ac0697dbb882c12ff8f7d439906e752797c247ac0ee0bde37e74a536e8e5c65
M2,A1_full,18146405.511449322,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}",0.0,1.0,4f7d4b39e6d1197dd357fe6310612dfe202d8c547dd685bf91c0b6739a4aaec2,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,72d889f9ca9b1190a7ac554a763b683535448c3c,d5bf7fa185004957dab72453096cb081b5857b87,LA-0010,10,20260903,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,0.8681563617215428,0.8354692606685634,0.8196318328311458,0.7581578131883597,0.42991755800513093,0.8666602673378188,0.852806321855718,0.82102140244804,0.7862198435485057,0.7840824693776616,0.07013862371514837,0.7051026389519095,0.2849293008488001,0.9280776180784069,0.11115475322102901,0.2201827511105156,SUCCESS,,,b7f114b19cc3ddd7e2a359cf8d239ccc6a9d0ff063fec4b491ba08949d95af94,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1218913391.3329117,P4,0.0,0.0,0.0,13263910.884596925,0.0,99543747.44158016,R0,NONE,R0,0.0,5106011.452462677,0.0,5106011.452462677,h09,5,Katrina,13040394.058986645,1200766985.8214624,1793506836.759286,88450507.30510046,1.0,10399999.999999996,0.0,78050507.30510046,3.725290298461914e-09,9557344.06438629,1783949492.6948996,certified,PASS,cac00f12c0c94100164f7d6bda6c01875143cacd8988970e720f994ab0505adb,8a8be9677610d2925287d93117ec49948d2d83e9fea5158f24126f53339a35b4,8b26ed858473578c34cc9c614d77180050fd882541797b2269b34c1b916ab0f0
