simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0001,1,SUCCESS,,,0.5301867999369279,0.25855930044781417,3,1,0,1,3,3,2,2,53,1129507408.2703202,1129507408.2703202,0.0,certified,PASS,h09,PASS,unavailable,b697716fe3f06388425f65d594918d773b239b8f5fcfc69298b6beac2479260f,84811d3a183c33b97a7f72a1abe90b9d629124155dd476ec542ef4700bbb828a,True
LA-0002,2,SUCCESS,,,0.5339134000241756,0.24671460059471428,3,1,0,1,3,3,2,2,53,1217715138.4542885,1217715138.4542887,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,9bafc6783c4ccd85b863cfe20b13ab8c3580811f3423c4e718af256be56b11d7,022b9fda02ec98cbe23ce62f882512e6c26b362f86924d3c6d07192764d540f1,True
LA-0003,3,SUCCESS,,,0.6330540999770164,0.29697440017480403,7,1,0,5,7,7,2,2,57,1220456158.4677374,1220456158.4677374,0.0,certified,PASS,h09,PASS,unavailable,ae7e87e6c1255fc48a411ed79ea64360f3b3479a26c75ab628aa74206cbafa44,12e8dad461386a31d3cec2edf201896103e3769b4f8a5fe6e661a8b87bacd233,True
LA-0004,4,SUCCESS,,,0.5909842000110075,0.29901299939956516,3,1,0,1,3,3,2,2,53,1219546842.7838023,1219546842.7838023,0.0,certified,PASS,h09,PASS,unavailable,2c4fe98740700a573c350a873403a056caca4c9ebf145ba97429279912ad5f77,f200fdbc16de7bd7bb29cd9a8c4445cb1c34970accddc44d3ac09e6d15a1da74,True
LA-0005,5,SUCCESS,,,0.5362226000288501,0.2560761997010559,3,1,0,1,3,3,2,2,53,1231601707.3162727,1231601707.3162727,0.0,certified,PASS,h09,PASS,unavailable,86fdfad36047d86fa2aecfba6f5a671a13894d9754c080fd483553dad1d69466,eedd84b80a2102fca40e1030379022621b48db60dac053867a94192e2d3c9b6a,True
LA-0006,6,SUCCESS,,,0.5043935000430793,0.23912580066826195,3,1,0,1,3,3,2,2,53,1228010902.1554122,1228010902.1554124,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,8aebcda4e1e6f049901efdbf8a79a85b1e3930c930d29cc14b639f5cc90a4b97,True
LA-0007,7,SUCCESS,,,0.4977575000375509,0.23433220002334565,3,1,0,1,3,3,2,2,53,1224101753.9739647,1224101753.973965,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,b2e91e0c1ea2b67f107463f0e510f45fbdf48c1ef30a3ed8c8e6cb93cbd3cbb2,True
LA-0008,8,SUCCESS,,,0.5405101999640465,0.25156379921827465,3,1,0,1,3,3,2,2,53,1234247683.2378776,1234247683.2378776,0.0,certified,PASS,h09,PASS,unavailable,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,2ac4d5b8f002a8da3f60e18eb3965408e9bcbc3668c1660c1a1bb71b2e238fa2,True
LA-0009,9,SUCCESS,,,0.5250967999454588,0.2523596998071298,3,1,0,1,3,3,2,2,53,1231866555.1965904,1231866555.1965904,0.0,certified,PASS,h09,PASS,unavailable,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,45d309c80d4ae4ca619271dc061843eda854d2c0dad33de555bb85532e685ba6,True
LA-0010,10,SUCCESS,,,0.531680200016126,0.2599089997820556,3,1,0,1,3,3,2,2,53,1216833970.5307605,1216833970.5307605,0.0,certified,PASS,h09,PASS,unavailable,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,ac0867a4e88038ae8e893ca63b5fa3dccd13d0b853d7082d2a585d29ef881efb,True
LA-0011,11,SUCCESS,,,0.5196953999111429,0.24963959981687367,3,1,0,1,3,3,2,2,53,1219765134.0438602,1219765134.0438602,0.0,certified,PASS,h09,PASS,unavailable,08421331dc7ac34cddf604d8e31aa8d424fde79779bb4a83cbb86cb3952185d3,c7e50733ba53d356d2798b79eb65bf52960ee5929608095f614032addf3ceef4,True
LA-0012,12,SUCCESS,,,0.5364700000500306,0.26239749952219427,3,1,0,1,3,3,2,2,53,1160699291.0929868,1160699291.0929866,0.0,certified,PASS,h09,PASS,unavailable,de70e0fd605fce1dfe9d01baf3364b35e508c84137f501316848310e845e1cc4,2b5176125faf99c310561115d85c9813e01cbf9534ba43ddf96ff3cd694295af,True
