model_kind,algorithm_kind,budget,shortage_beta,demand_scale_gamma_D,demand_scale,h,a,simulation_config_sha256,sample_table_sha256,execution_git_commit,execution_git_tree,simulation_id,sample_index,simulation_seed,input_sha256,rho_Q1,rho_Q2,rho_Q3,rho_Q4,rho_Q5,rho_F1,rho_F2,rho_F3,rho_F4,rho_F5,eta_1,eta_2,phi,psi,c_R1_ratio,c_R2_ratio,status,failure_type,failure_message,data_sha256,scenario_sha256,objective_T_COST,policy_label,Q_Water,Q_Seasonal Influenza Vaccine,Q_Crackers,F_Water,F_Seasonal Influenza Vaccine,F_Crackers,R_Water,R_Seasonal Influenza Vaccine,R_Crackers,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,worst_exercise_Water,worst_exercise_Seasonal Influenza Vaccine,worst_exercise_Crackers,worst_shortage_Water,worst_shortage_Seasonal Influenza Vaccine,worst_shortage_Crackers,convergence_status,certificate_status,a1_result_sha256,first_stage_sha256,oracle_sha256
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0001,1,20260903,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,0.922521227429794,0.7452023812062128,0.7418704554268403,0.7219298543549457,0.7047806081548735,0.8760720882194385,0.8611413946407805,0.8026564335238286,0.8006439855649403,0.7698499621134767,0.38351093915006096,0.4951211148465382,0.002071930421536967,0.5194839916445723,0.15581621844524082,0.38551636721752913,SUCCESS,,,a53c7ade6289ad8101b99ec421aa4ab32dc07947ba7e97d34c4dbe8a5666fd91,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1129507408.2703202,P4,0.0,0.0,0.0,13509125.819073599,0.0,414610174.2448552,R0,NONE,R0,0.0,98638.65331107801,0.0,98638.65331107801,h09,5,Katrina,19039267.2021274,1110369502.4148817,1552369717.1301227,329587626.93426377,1.0,10400000.0,0.0,319187626.93426377,0.0,9557344.06438629,1542812373.0657363,certified,PASS,4ea600c87c0ea3979a2715bd0bf6ab6d1b67ecf9b4843248c7d0ad6d9ff1b085,b697716fe3f06388425f65d594918d773b239b8f5fcfc69298b6beac2479260f,84811d3a183c33b97a7f72a1abe90b9d629124155dd476ec542ef4700bbb828a
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0002,2,20260903,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,0.9341181087069085,0.8953404556082157,0.8497989175397563,0.7564349138952171,0.7270750636927024,0.7603083924372587,0.7501372180537771,0.6821940630391552,0.6123965277608744,0.5621865826622061,0.3082333336370004,0.7189467751517306,0.38832017244636113,0.6202262325217449,0.221749594383684,0.5886617297328387,SUCCESS,,,587a89a437c68b24a9aa7908dd36c2de029fadfb87bbbae1802ca40f79f1d11d,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1217715138.4542887,P4,0.0,0.0,0.0,18499196.389126413,0.0,149223978.31402862,R0,NONE,R0,0.0,10083587.872734142,0.0,10083587.872734142,h09,5,Katrina,9054317.982704338,1198577232.5988503,1787665625.6447635,94291718.4196229,1.0,10400000.0,0.0,83891718.4196229,0.0,9557344.06438629,1778108281.580377,certified,PASS,f6aa7fedf84a70950f1769a4e5ba9eb89eacb2d7300c754b2b6672db601a15ea,9bafc6783c4ccd85b863cfe20b13ab8c3580811f3423c4e718af256be56b11d7,022b9fda02ec98cbe23ce62f882512e6c26b362f86924d3c6d07192764d540f1
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0003,3,20260903,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,0.8070071265150788,0.7743118395359756,0.7653055361477155,0.7467729448876879,0.7404691169181075,0.7049939316796755,0.650793227523168,0.6359465649326758,0.42818809136278885,0.32343126087269347,0.20231421566201296,0.5631132543292243,0.33565698051100795,1.0595438692484767,0.09400434498139602,0.22539981000768083,SUCCESS,,,47309d5373b9ac94e04d99d7550d8b50e678e8c687df7b00cc464d9da5864fb6,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1220456158.4677374,P1,14045150.246489204,696508.1881789276,0.0,0.0,0.0,0.0,NONE,NONE,NONE,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,0.0,1201318252.612299,1871041601.2613592,0.0,1.0,0.0,0.0,0.0,0.0,9041601.261359207,1862000000.0,certified,PASS,cb41098c646ec5a55b5e0141d1c9e323a939bd70c9540db11f30dfc2b610a40a,ae7e87e6c1255fc48a411ed79ea64360f3b3479a26c75ab628aa74206cbafa44,12e8dad461386a31d3cec2edf201896103e3769b4f8a5fe6e661a8b87bacd233
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0004,4,20260903,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,0.8221395220428599,0.741196974705498,0.7327059146026832,0.72761989667496,0.6155313669357059,0.8929695323254209,0.8071585192510689,0.6848359897984746,0.47837390074635283,0.4523760255702268,0.32867265098503873,0.5300461697194285,0.07944032169653636,1.1778053590043958,0.243997007582195,0.36643315455048153,SUCCESS,,,400884a8e44a7b4108a77462584fb7d16f69645b39572c79ed1b698cf98d2af6,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1219546842.7838023,P4,0.0,0.0,0.0,0.0,0.0,333528129.92772025,NONE,NONE,R0,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,16654739.916368227,1200408936.9283638,1731077214.2318141,150880129.8325723,1.0,0.0,0.0,150880129.8325723,10400000.0,9557344.06438629,1711119870.1674278,certified,PASS,383aabcbd9f8d88c70505b080026f3b774db6b89d0ea254b156eadbdfc12efdf,2c4fe98740700a573c350a873403a056caca4c9ebf145ba97429279912ad5f77,f200fdbc16de7bd7bb29cd9a8c4445cb1c34970accddc44d3ac09e6d15a1da74
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0005,5,20260903,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,0.9693823848132163,0.8778036260238016,0.8670121839170131,0.697425014434226,0.5896427020512514,0.7086404186405618,0.6560528226474139,0.5534219471773951,0.5474990805111646,0.5323392820396154,0.14984413737456603,0.7922432540765625,0.44017313801230057,1.1428479479630251,0.0570769506862477,0.18299684330340973,SUCCESS,,,4800ef41b86c87a98ec98a4a4104e36c13df79110531b460cd7d899344e73b30,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1231601707.3162727,P1,17637799.914796602,535093.150015588,0.0,0.0,0.0,0.0,NONE,NONE,NONE,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,0.0,1212463801.4608343,1871241830.293562,0.0,1.0,0.0,0.0,0.0,0.0,9241830.293561982,1862000000.0,certified,PASS,db6cc396f21d91abebdb9e97191ba5afa45eae956af0cd9b4580e127be1b3338,86fdfad36047d86fa2aecfba6f5a671a13894d9754c080fd483553dad1d69466,eedd84b80a2102fca40e1030379022621b48db60dac053867a94192e2d3c9b6a
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0006,6,20260903,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,0.8160641414602561,0.7917365247037459,0.6565169186322943,0.5351640775642301,0.4189678247501644,0.8599189710742645,0.8513839076953441,0.7888434892440566,0.7637745037339543,0.5954776084694967,0.14659492939636729,0.8262602402911685,0.4011770765818714,0.9604058962344366,0.07340987471879275,0.18563696459542925,SUCCESS,,,19b6bf8fce85d49430ca7a030f81ed06818b34935bcce087b0a8c6af04793b84,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1228010902.1554124,P4,0.0,0.0,0.0,0.0,0.0,138001015.2037785,NONE,NONE,R2,0.0,5188605.725132992,2400927.354830025,7589533.079963017,h09,5,Katrina,11548372.775475461,1208872996.299974,1753655264.1987638,128302079.86562265,1.0,0.0,0.0,128302079.86562265,10400000.0,9557344.06438629,1733697920.1343775,certified,PASS,d3c2b554ee61919d334e642a54b3660e27f1226272e444660a24579d209c0352,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,8aebcda4e1e6f049901efdbf8a79a85b1e3930c930d29cc14b639f5cc90a4b97
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0007,7,20260903,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,0.9050547676637114,0.8455286986146096,0.7027936121718653,0.6971074063313801,0.6336789960387299,0.8986023763330586,0.7224664113375998,0.7183419074792169,0.6242899298066482,0.469463585287724,0.20725263438310682,0.7366776951050362,0.05552381086764615,1.3536768038735594,0.12971378592248706,0.20810758090970125,SUCCESS,,,073acfec07dfb715ceee3b887bd0c9376cff02f27c447d94500553a779a05b0f,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1224101753.973965,P4,0.0,0.0,0.0,0.0,0.0,295507077.09389716,NONE,NONE,R0,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,17600178.174065318,1204963848.1185265,1743227532.1739895,138729811.89039683,1.0,0.0,0.0,138729811.89039683,10400000.0,9557344.06438629,1723270188.1096032,certified,PASS,04155a7d0ec4b2ccd91faf79f6d8cced505bf3541a12430a833d2afca2981764,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,b2e91e0c1ea2b67f107463f0e510f45fbdf48c1ef30a3ed8c8e6cb93cbd3cbb2
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0008,8,20260903,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,0.9792444797653141,0.9013583879762508,0.6243386122593421,0.5546427952902904,0.5538362049910261,0.773236113732509,0.7348353177144263,0.6028065045312001,0.5842626135047929,0.481608396818914,0.40155053831225107,0.8760158066854603,0.25037527191324255,1.4839278185106197,0.05018832949515882,0.17601281812712813,SUCCESS,,,a0d398dd9e4f60d077190a2a7acd25fee767b32285326c2d5d90776db43d9e77,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1234247683.2378776,P1,18778115.09301475,483859.6496734721,0.0,0.0,0.0,0.0,NONE,NONE,NONE,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,0.0,1215109777.3824391,1871289365.0722628,0.0,0.9999999999999974,0.0,0.0,0.0,0.0,9289365.072262846,1862000000.0,certified,PASS,f7e5de4e41b208d0e87fcbb78c8f174167ac7ae5b10ae055dcc322b1c3d0ccdb,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,2ac4d5b8f002a8da3f60e18eb3965408e9bcbc3668c1660c1a1bb71b2e238fa2
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0009,9,20260903,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,0.9438978837759708,0.9324302440318135,0.8379799389456358,0.6167196189127531,0.5860586653370186,0.9775968052987194,0.8593043561089263,0.8095269516912742,0.7441536643983373,0.7227957756690062,0.49472324930885264,0.8877259339798702,0.4846061686839823,1.2384835472657294,0.2515172011323056,0.4866416737382142,SUCCESS,,,34fa770bcb8cc4de462e78d46320785558276bd46ec8a39b46049d5e4318e052,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1231866555.1965904,P1,17745663.72808323,530246.9102912714,0.0,0.0,0.0,0.0,NONE,NONE,NONE,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,0.0,1212728649.341152,1871246588.2678418,0.0,1.0,0.0,0.0,0.0,0.0,9246588.26784191,1862000000.0,certified,PASS,1e3d6f59c8111d876011e11dea0ef28651c8f93b24eaa4d96d41d54b3804a71c,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,45d309c80d4ae4ca619271dc061843eda854d2c0dad33de555bb85532e685ba6
M2,A1_full,19137905.85543848,4.0,1.0,"{""crackers_from_unified_food"": 14.0, ""gamma_D"": 1.0, ""vaccine_from_rawls_medical"": 10.0603621730382, ""water"": 1.0}","{""Crackers"": 0.0, ""Seasonal Influenza Vaccine"": 0.0833333333333333, ""Water"": 0.0}","{""Crackers"": 0.9, ""Seasonal Influenza Vaccine"": 1.0, ""Water"": 1.0}",4a54d167c3757fc8486fead117b12678020df9ad59a8db1a577418b7da8da3e4,ac617befc8fbb7510e1b64b617c7e0339ea948ca519d0d18131f3b8048c131e0,c77a6d6b3fa61b920da7dc88428efe4337a79212,0c615786a8d3a3b9cfd2f0bd2f31ea7867638878,LA-0010,10,20260903,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,0.8681563617215428,0.8354692606685634,0.8196318328311458,0.7581578131883597,0.42991755800513093,0.8666602673378188,0.852806321855718,0.82102140244804,0.7862198435485057,0.7840824693776616,0.07013862371514837,0.7051026389519095,0.2849293008488001,0.9280776180784069,0.11115475322102901,0.2201827511105156,SUCCESS,,,fcc2493f1c91b3b49e4aa5072a67f76d726de94cbde488d616ea6974f05a4578,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1216833970.5307605,P4,0.0,0.0,0.0,426298.26574119116,1338265.7747305832,0.0,R0,R0,NONE,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,13752907.354640797,1197696064.675322,1880573780.3341582,1383563.7302281326,1.0,334252.99689376773,1049310.7333343648,0.0,10065747.003106233,8508033.331051925,1862000000.0,certified,PASS,3e8d7888f3ea27775ad6d5f2e19645cdfb5578f72df342396c349d205950f1d8,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,ac0867a4e88038ae8e893ca63b5fa3dccd13d0b853d7082d2a585d29ef881efb
